rep,bench,arm,ns_per_op,err,probe_off,probe_on
2,SignTransactionSchnorr,baseline,42276.86,0.1,0.2228,0.8703
2,TxGraphTrim,baseline,9257292.00,0.0,0.2228,0.8703
2,WalletAvailableCoins,baseline,26259833.50,0.1,0.2228,0.8703
2,WalletCreateTxUseOnlyPresetInputs,baseline,517946.78,0.1,0.2228,0.8703
2,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,15452903.00,0.5,0.2228,0.8703
2,CoinSelection,null,3179316.70,0.3,0.2228,0.8703
2,ComplexMemPool,null,34828417.00,1.5,0.2228,0.8703
2,ConnectBlockAllEcdsa,null,26785521.00,0.4,0.2228,0.8703
2,SignTransactionECDSA,null,55603.90,0.1,0.2228,0.8703
2,SignTransactionSchnorr,null,42345.70,0.1,0.2228,0.8703
2,TxGraphTrim,null,9298583.00,0.0,0.2228,0.8703
2,WalletAvailableCoins,null,25903854.50,0.0,0.2228,0.8703
2,WalletCreateTxUseOnlyPresetInputs,null,539985.64,0.0,0.2228,0.8703
2,WalletCreateTxUsePresetInputsAndCoinSelection,null,15629764.00,0.9,0.2228,0.8703
2,CoinSelection,always,3579804.20,0.3,0.2228,0.8703
2,ComplexMemPool,always,35276084.00,1.4,0.2228,0.8703
2,ConnectBlockAllEcdsa,always,26756750.00,0.2,0.2228,0.8703
2,SignTransactionECDSA,always,62633.85,0.1,0.2228,0.8703
2,SignTransactionSchnorr,always,43153.90,0.1,0.2228,0.8703
2,TxGraphTrim,always,10076416.00,0.0,0.2228,0.8703
2,WalletAvailableCoins,always,25555666.50,0.1,0.2228,0.8703
2,WalletCreateTxUseOnlyPresetInputs,always,526364.17,0.1,0.2228,0.8703
2,WalletCreateTxUsePresetInputsAndCoinSelection,always,16464041.67,1.5,0.2228,0.8703
3,CoinSelection,pass_gated,3118412.50,0.3,0.2248,0.8702
3,ComplexMemPool,pass_gated,34771458.00,1.8,0.2248,0.8702
3,ConnectBlockAllEcdsa,pass_gated,27351146.00,1.7,0.2248,0.8702
3,SignTransactionECDSA,pass_gated,61497.26,0.1,0.2248,0.8702
3,SignTransactionSchnorr,pass_gated,44312.92,0.1,0.2248,0.8702
3,TxGraphTrim,pass_gated,9550792.00,0.0,0.2248,0.8702
3,WalletAvailableCoins,pass_gated,26270458.00,0.1,0.2248,0.8702
3,WalletCreateTxUseOnlyPresetInputs,pass_gated,600196.05,0.1,0.2248,0.8702
3,WalletCreateTxUsePresetInputsAndCoinSelection,pass_gated,15631472.33,1.1,0.2248,0.8702
3,CoinSelection,baseline2,3120316.60,0.4,0.2248,0.8702
3,ComplexMemPool,baseline2,34979500.00,0.9,0.2248,0.8702
3,ConnectBlockAllEcdsa,baseline2,26793167.00,0.4,0.2248,0.8702
3,SignTransactionECDSA,baseline2,55825.50,0.1,0.2248,0.8702
3,SignTransactionSchnorr,baseline2,42269.75,0.1,0.2248,0.8702
3,TxGraphTrim,baseline2,9766584.00,0.0,0.2248,0.8702
3,WalletAvailableCoins,baseline2,25760458.50,0.1,0.2248,0.8702
3,WalletCreateTxUseOnlyPresetInputs,baseline2,583920.84,0.1,0.2248,0.8702
3,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15743097.00,1.3,0.2248,0.8702
3,CoinSelection,baseline,3194504.20,0.4,0.2248,0.8702
3,ComplexMemPool,baseline,34983667.00,1.3,0.2248,0.8702
3,ConnectBlockAllEcdsa,baseline,26911187.50,0.7,0.2248,0.8702
3,SignTransactionECDSA,baseline,60017.56,0.2,0.2248,0.8702
3,SignTransactionSchnorr,baseline,42321.69,0.1,0.2248,0.8702
3,TxGraphTrim,baseline,9703709.00,0.0,0.2248,0.8702
3,WalletAvailableCoins,baseline,26400729.00,0.1,0.2248,0.8702
3,WalletCreateTxUseOnlyPresetInputs,baseline,549821.81,0.1,0.2248,0.8702
3,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,16084597.33,1.5,0.2248,0.8702
3,CoinSelection,null,3107025.00,0.1,0.2248,0.8702
3,ComplexMemPool,null,35000291.00,1.2,0.2248,0.8702
3,ConnectBlockAllEcdsa,null,26848396.00,0.5,0.2248,0.8702
3,SignTransactionECDSA,null,55957.17,0.1,0.2248,0.8702
3,SignTransactionSchnorr,null,42321.85,0.1,0.2248,0.8702
3,TxGraphTrim,null,9409333.00,0.0,0.2248,0.8702
3,WalletAvailableCoins,null,26332771.00,0.0,0.2248,0.8702
3,WalletCreateTxUseOnlyPresetInputs,null,606494.91,0.1,0.2248,0.8702
3,WalletCreateTxUsePresetInputsAndCoinSelection,null,15699639.00,0.5,0.2248,0.8702
3,CoinSelection,always,3574695.80,0.2,0.2248,0.8702
3,ComplexMemPool,always,36537583.00,3.6,0.2248,0.8702
3,ConnectBlockAllEcdsa,always,26857104.00,0.6,0.2248,0.8702
3,SignTransactionECDSA,always,53674.64,0.1,0.2248,0.8702
3,SignTransactionSchnorr,always,43040.90,0.1,0.2248,0.8702
3,TxGraphTrim,always,10043042.00,0.0,0.2248,0.8702
3,WalletAvailableCoins,always,27059979.50,0.1,0.2248,0.8702
3,WalletCreateTxUseOnlyPresetInputs,always,561285.65,0.1,0.2248,0.8702
3,WalletCreateTxUsePresetInputsAndCoinSelection,always,16222208.33,1.0,0.2248,0.8702
3,CoinSelection,pass_hoist,3133979.10,0.6,0.2248,0.8702
3,ComplexMemPool,pass_hoist,36742958.00,1.8,0.2248,0.8702
3,ConnectBlockAllEcdsa,pass_hoist,40698959.00,0.4,0.2248,0.8702
3,SignTransactionECDSA,pass_hoist,85845.66,0.3,0.2248,0.8702
3,SignTransactionSchnorr,pass_hoist,62603.37,0.2,0.2248,0.8702
3,TxGraphTrim,pass_hoist,9481292.00,0.0,0.2248,0.8702
3,WalletAvailableCoins,pass_hoist,34015104.00,0.1,0.2248,0.8702
3,WalletCreateTxUseOnlyPresetInputs,pass_hoist,770492.06,0.1,0.2248,0.8702
3,WalletCreateTxUsePresetInputsAndCoinSelection,pass_hoist,17759347.00,3.0,0.2248,0.8702
4,CoinSelection,baseline2,3138766.60,0.1,0.2257,0.8696
4,ComplexMemPool,baseline2,34836584.00,1.4,0.2257,0.8696
4,ConnectBlockAllEcdsa,baseline2,27025250.00,0.6,0.2257,0.8696
4,SignTransactionECDSA,baseline2,58311.85,0.1,0.2257,0.8696
4,SignTransactionSchnorr,baseline2,42359.94,0.1,0.2257,0.8696
4,TxGraphTrim,baseline2,9357041.00,0.0,0.2257,0.8696
4,WalletAvailableCoins,baseline2,26190916.50,0.1,0.2257,0.8696
4,WalletCreateTxUseOnlyPresetInputs,baseline2,517536.02,0.1,0.2257,0.8696
4,WalletCreateTxUsePresetInputsAndCoinSelection,baseline2,15555736.00,1.0,0.2257,0.8696
4,CoinSelection,baseline,3139479.20,0.1,0.2257,0.8696
4,ComplexMemPool,baseline,34295333.00,1.3,0.2257,0.8696
4,ConnectBlockAllEcdsa,baseline,26716833.50,0.2,0.2257,0.8696
4,SignTransactionECDSA,baseline,54009.64,0.1,0.2257,0.8696
4,SignTransactionSchnorr,baseline,42308.55,0.1,0.2257,0.8696
4,TxGraphTrim,baseline,9242834.00,0.0,0.2257,0.8696
4,WalletAvailableCoins,baseline,25447666.50,0.1,0.2257,0.8696
4,WalletCreateTxUseOnlyPresetInputs,baseline,539569.14,0.1,0.2257,0.8696
4,WalletCreateTxUsePresetInputsAndCoinSelection,baseline,15587055.67,1.1,0.2257,0.8696
4,CoinSelection,null,3110583.40,0.2,0.2257,0.8696
4,ComplexMemPool,null,34253750.00,0.7,0.2257,0.8696
4,ConnectBlockAllEcdsa,null,26753333.50,0.3,0.2257,0.8696
4,SignTransactionECDSA,null,56190.52,0.1,0.2257,0.8696
4,SignTransactionSchnorr,null,42334.63,0.0,0.2257,0.8696
4,TxGraphTrim,null,9558292.00,0.0,0.2257,0.8696
4,WalletAvailableCoins,null,26250417.00,0.1,0.2257,0.8696
4,WalletCreateTxUseOnlyPresetInputs,null,551321.81,0.1,0.2257,0.8696
4,WalletCreateTxUsePresetInputsAndCoinSelection,null,15589611.00,0.9,0.2257,0.8696
4,CoinSelection,always,3604525.00,0.3,0.2257,0.8696
4,ComplexMemPool,always,35345083.00,1.1,0.2257,0.8696
4,ConnectBlockAllEcdsa,always,26717500.00,0.1,0.2257,0.8696
4,SignTransactionECDSA,always,57151.73,0.1,0.2257,0.8696
4,SignTransactionSchnorr,always,43073.80,0.1,0.2257,0.8696
4,TxGraphTrim,always,10114000.00,0.0,0.2257,0.8696
4,WalletAvailableCoins,always,25853166.50,0.0,0.2257,0.8696
4,WalletCreateTxUseOnlyPresetInputs,always,549556.86,0.0,0.2257,0.8696
4,WalletCreateTxUsePresetInputsAndCoinSelection,always,16002153.00,0.6,0.2257,0.8696
4,CoinSelection,pass_hoist,3182525.00,0.1,0.2257,0.8696
4,ComplexMemPool,pass_hoist,34852333.00,2.4,0.2257,0.8696
4,ConnectBlockAllEcdsa,pass_hoist,40471667.00,0.5,0.2257,0.8696
4,SignTransactionECDSA,pass_hoist,78086.58,0.2,0.2257,0.8696
4,SignTransactionSchnorr,pass_hoist,61997.04,0.1,0.2257,0.8696
4,TxGraphTrim,pass_hoist,9468583.00,0.0,0.2257,0.8696
