rep,bench,arm,ns_per_op,err_pct,probe_off,probe_on
3,SignTransactionSchnorr,base,43313.53,0.1,0.2183,0.8695
3,TxGraphTrim,base,9235458.00,0.0,0.2183,0.8695
3,WalletAvailableCoins,base,26170792.00,0.1,0.2183,0.8695
3,WalletCreateTxUsePresetInputsAndCoinSelection,base,15555403.00,0.7,0.2183,0.8695
4,CCoinsCaching,dit,169.19,1.2,0.2185,0.8700
4,CoinSelection,dit,3557691.70,0.1,0.2185,0.8700
4,ComplexMemPool,dit,34853667.00,0.9,0.2185,0.8700
4,ConnectBlockAllEcdsa,dit,26939417.00,0.3,0.2185,0.8700
4,DeserializeBlockTest,dit,740251.17,0.1,0.2185,0.8700
4,MemPoolAddTransactions,dit,69342542.00,0.5,0.2185,0.8700
4,SignTransactionECDSA,dit,58420.49,0.1,0.2185,0.8700
4,SignTransactionSchnorr,dit,44228.61,0.1,0.2185,0.8700
4,TxGraphTrim,dit,10037917.00,0.0,0.2185,0.8700
4,WalletAvailableCoins,dit,27042833.00,0.1,0.2185,0.8700
4,WalletCreateTxUsePresetInputsAndCoinSelection,dit,16266805.33,1.0,0.2185,0.8700
4,CCoinsCaching,base,171.03,3.2,0.2185,0.8700
4,CheckBlockTest,base,304625.00,4.6,0.2185,0.8700
4,CoinSelection,base,3113633.40,0.1,0.2185,0.8700
4,ComplexMemPool,base,34878542.00,1.2,0.2185,0.8700
4,ConnectBlockAllEcdsa,base,26948291.50,0.4,0.2185,0.8700
4,DeserializeBlockTest,base,746338.62,0.6,0.2185,0.8700
4,MemPoolAddTransactions,base,68442791.00,0.9,0.2185,0.8700
4,SignTransactionECDSA,base,56526.87,0.0,0.2185,0.8700
4,SignTransactionSchnorr,base,43217.77,0.0,0.2185,0.8700
4,TxGraphTrim,base,9566792.00,0.0,0.2185,0.8700
4,WalletAvailableCoins,base,26399792.00,0.1,0.2185,0.8700
4,WalletCreateTxUsePresetInputsAndCoinSelection,base,15682708.33,0.8,0.2185,0.8700
4,CCoinsCaching,null,158.68,3.5,0.2185,0.8700
4,CoinSelection,null,3111375.00,0.2,0.2185,0.8700
4,ComplexMemPool,null,34300125.00,1.4,0.2185,0.8700
4,ConnectBlockAllEcdsa,null,26961291.50,0.4,0.2185,0.8700
4,DeserializeBlockTest,null,737531.69,0.1,0.2185,0.8700
4,MemPoolAddTransactions,null,68039000.00,0.5,0.2185,0.8700
4,SignTransactionECDSA,null,55256.51,0.1,0.2185,0.8700
4,SignTransactionSchnorr,null,43254.10,0.1,0.2185,0.8700
4,TxGraphTrim,null,9390375.00,0.0,0.2185,0.8700
4,WalletAvailableCoins,null,26222729.00,0.0,0.2185,0.8700
4,WalletCreateTxUsePresetInputsAndCoinSelection,null,15599319.67,0.6,0.2185,0.8700
5,CCoinsCaching,base,159.46,1.6,0.2254,0.8685
5,CoinSelection,base,3134625.00,0.4,0.2254,0.8685
5,ComplexMemPool,base,34674625.00,0.7,0.2254,0.8685
5,ConnectBlockAllEcdsa,base,26999916.50,0.5,0.2254,0.8685
5,DeserializeBlockTest,base,738214.21,0.2,0.2254,0.8685
5,MemPoolAddTransactions,base,67978958.00,0.7,0.2254,0.8685
5,SignTransactionECDSA,base,54785.60,0.1,0.2254,0.8685
5,SignTransactionSchnorr,base,43345.36,0.0,0.2254,0.8685
5,TxGraphTrim,base,9175791.00,0.0,0.2254,0.8685
5,WalletAvailableCoins,base,25537395.50,0.1,0.2254,0.8685
5,WalletCreateTxUsePresetInputsAndCoinSelection,base,15645138.67,0.6,0.2254,0.8685
5,CCoinsCaching,null,182.04,1.4,0.2254,0.8685
5,CoinSelection,null,3129908.30,0.3,0.2254,0.8685
