rep,host,arm,total_s,secret_s,toggles,checksum
8,cpython,pass_region,3.831340,0.000671,0,WORK cpython checksum 996236
8,cpython,pass_hoist,3.828691,0.000680,0,WORK cpython checksum 996236
8,cpython,pass_function,3.875974,0.000666,0,WORK cpython checksum 996236
8,cpython,baseline2,3.777375,0.000607,0,WORK cpython checksum 996236
8,cpython,baseline,3.794925,0.000598,0,WORK cpython checksum 996236
8,cpython,always,4.193587,0.000638,1,WORK cpython checksum 996236
8,cpython,oracle,3.849035,0.000646,96,WORK cpython checksum 996236
8,sqlite,pass_region,2.932254,0.001902,0,WORK sqlite checksum 43910948
8,sqlite,pass_hoist,2.923988,0.001917,0,WORK sqlite checksum 43910948
8,sqlite,pass_function,2.924493,0.001889,0,WORK sqlite checksum 43910948
8,sqlite,baseline2,2.937592,0.001729,0,WORK sqlite checksum 43910948
8,sqlite,baseline,2.915271,0.001722,0,WORK sqlite checksum 43910948
8,sqlite,always,3.022705,0.001820,1,WORK sqlite checksum 43910948
8,sqlite,oracle,2.926036,0.001819,288,WORK sqlite checksum 43910948
9,cpython,pass_hoist,3.817126,0.000668,0,WORK cpython checksum 996236
9,cpython,pass_function,3.876339,0.000666,0,WORK cpython checksum 996236
9,cpython,baseline2,3.833183,0.000611,0,WORK cpython checksum 996236
9,cpython,baseline,3.828476,0.000608,0,WORK cpython checksum 996236
9,cpython,always,4.184183,0.000637,1,WORK cpython checksum 996236
9,cpython,oracle,3.810112,0.000634,96,WORK cpython checksum 996236
9,cpython,pass_region,3.856079,0.000668,0,WORK cpython checksum 996236
9,sqlite,pass_hoist,2.910837,0.001904,0,WORK sqlite checksum 43910948
9,sqlite,pass_function,2.932540,0.001897,0,WORK sqlite checksum 43910948
9,sqlite,baseline2,2.942571,0.001732,0,WORK sqlite checksum 43910948
9,sqlite,baseline,2.921804,0.001731,0,WORK sqlite checksum 43910948
9,sqlite,always,3.041393,0.001849,1,WORK sqlite checksum 43910948
9,sqlite,oracle,2.928180,0.001845,288,WORK sqlite checksum 43910948
9,sqlite,pass_region,2.962102,0.001927,0,WORK sqlite checksum 43910948
10,cpython,pass_function,3.899548,0.000715,0,WORK cpython checksum 996236
10,cpython,baseline2,3.884348,0.000665,0,WORK cpython checksum 996236
10,cpython,baseline,3.831599,0.000664,0,WORK cpython checksum 996236
10,cpython,always,4.320745,0.000822,1,WORK cpython checksum 996236
10,cpython,oracle,3.863075,0.000805,96,WORK cpython checksum 996236
10,cpython,pass_region,3.871374,0.000723,0,WORK cpython checksum 996236
10,cpython,pass_hoist,3.804992,0.000708,0,WORK cpython checksum 996236
10,sqlite,pass_function,2.948257,0.001922,0,WORK sqlite checksum 43910948
10,sqlite,baseline2,2.933845,0.001745,0,WORK sqlite checksum 43910948
10,sqlite,baseline,2.952857,0.001745,0,WORK sqlite checksum 43910948
10,sqlite,always,3.055980,0.001856,1,WORK sqlite checksum 43910948
10,sqlite,oracle,2.947932,0.001856,288,WORK sqlite checksum 43910948
10,sqlite,pass_region,2.962543,0.001920,0,WORK sqlite checksum 43910948
10,sqlite,pass_hoist,2.936724,0.001919,0,WORK sqlite checksum 43910948
11,cpython,baseline2,3.901505,0.000637,0,WORK cpython checksum 996236
11,cpython,baseline,3.824567,0.000627,0,WORK cpython checksum 996236
11,cpython,always,4.187816,0.000655,1,WORK cpython checksum 996236
11,cpython,oracle,3.831178,0.000638,96,WORK cpython checksum 996236
11,cpython,pass_region,3.857211,0.000684,0,WORK cpython checksum 996236
11,cpython,pass_hoist,3.806070,0.000683,0,WORK cpython checksum 996236
11,cpython,pass_function,3.873286,0.000673,0,WORK cpython checksum 996236
11,sqlite,baseline2,2.921259,0.001732,0,WORK sqlite checksum 43910948
11,sqlite,baseline,3.041642,0.001735,0,WORK sqlite checksum 43910948
11,sqlite,always,3.051222,0.001823,1,WORK sqlite checksum 43910948
11,sqlite,oracle,2.932613,0.001837,288,WORK sqlite checksum 43910948
11,sqlite,pass_region,2.967296,0.001926,0,WORK sqlite checksum 43910948
11,sqlite,pass_hoist,2.922624,0.001916,0,WORK sqlite checksum 43910948
11,sqlite,pass_function,2.957463,0.001903,0,WORK sqlite checksum 43910948
12,cpython,baseline,3.828834,0.000614,0,WORK cpython checksum 996236
12,cpython,always,4.211408,0.000640,1,WORK cpython checksum 996236
12,cpython,oracle,3.813040,0.000638,96,WORK cpython checksum 996236
12,cpython,pass_region,3.829612,0.000671,0,WORK cpython checksum 996236
12,cpython,pass_hoist,3.849941,0.000667,0,WORK cpython checksum 996236
12,cpython,pass_function,3.847453,0.000669,0,WORK cpython checksum 996236
12,cpython,baseline2,3.804683,0.000614,0,WORK cpython checksum 996236
12,sqlite,baseline,2.939063,0.001729,0,WORK sqlite checksum 43910948
12,sqlite,always,3.039349,0.001826,1,WORK sqlite checksum 43910948
12,sqlite,oracle,2.936005,0.001826,288,WORK sqlite checksum 43910948
12,sqlite,pass_region,2.941808,0.001914,0,WORK sqlite checksum 43910948
12,sqlite,pass_hoist,2.940884,0.001906,0,WORK sqlite checksum 43910948
12,sqlite,pass_function,2.940244,0.001902,0,WORK sqlite checksum 43910948
12,sqlite,baseline2,2.933659,0.001728,0,WORK sqlite checksum 43910948
13,cpython,always,4.204919,0.000651,1,WORK cpython checksum 996236
