rep,host,arm,seconds,rc,stdout_tail,probe_const,probe_perm,probe_dit
6,probe,null,0.025698,0,PROBE dit=0 const_ns_per_hop=0.2278 perm_ns_per_hop=0.8712 const_over_perm=0.2615 ck=665,0.2278,0.8712,0
6,probe,dit,0.037817,0,PROBE dit=1 const_ns_per_hop=0.8689 perm_ns_per_hop=0.8713 const_over_perm=0.9972 ck=665,0.8689,0.8713,1
6,sqlite,base,4.013072,0,       TOTAL.......................................................    4.005s,,,
6,sqlite,null,4.001413,0,       TOTAL.......................................................    3.992s,,,
6,sqlite,dit,4.244476,0,       TOTAL.......................................................    4.234s,,,
6,lua,base,1.929687,0,LUABENCH binary_trees checksum 29447519,,,
6,lua,null,1.878947,0,LUABENCH binary_trees checksum 29447519,,,
6,lua,dit,2.104175,0,LUABENCH binary_trees checksum 29447519,,,
6,cpython,base,10.486752,0,PYBENCH nbody 2.585989 float,,,
6,cpython,null,10.412514,0,PYBENCH nbody 2.584643 float,,,
6,cpython,dit,11.063563,0,PYBENCH nbody 2.602484 float,,,
6,git,base,2.344900,0,579877,,,
6,git,null,2.349291,0,579877,,,
6,git,dit,2.398935,0,579877,,,
6,quickjs,base,13.318203,0,__total 3588,,,
6,quickjs,null,13.298932,0,__total 3580,,,
6,quickjs,dit,13.454400,0,__total 3331,,,
7,probe,base,0.023977,0,PROBE dit=0 const_ns_per_hop=0.2247 perm_ns_per_hop=0.8699 const_over_perm=0.2583 ck=665,0.2247,0.8699,0
7,probe,null,0.025822,0,PROBE dit=0 const_ns_per_hop=0.2293 perm_ns_per_hop=0.8760 const_over_perm=0.2618 ck=665,0.2293,0.8760,0
7,probe,dit,0.037890,0,PROBE dit=1 const_ns_per_hop=0.8722 perm_ns_per_hop=0.8714 const_over_perm=1.0010 ck=665,0.8722,0.8714,1
7,sqlite,base,4.005416,0,       TOTAL.......................................................    3.998s,,,
7,sqlite,null,4.012892,0,       TOTAL.......................................................    4.003s,,,
7,sqlite,dit,4.247124,0,       TOTAL.......................................................    4.236s,,,
7,lua,base,1.871032,0,LUABENCH binary_trees checksum 29447519,,,
7,lua,null,1.882230,0,LUABENCH binary_trees checksum 29447519,,,
7,lua,dit,2.146836,0,LUABENCH binary_trees checksum 29447519,,,
7,cpython,base,10.287513,0,PYBENCH nbody 2.536402 float,,,
7,cpython,null,10.334912,0,PYBENCH nbody 2.568052 float,,,
7,cpython,dit,11.071417,0,PYBENCH nbody 2.630960 float,,,
7,git,base,2.343164,0,579877,,,
7,git,null,2.337559,0,579877,,,
7,git,dit,2.402845,0,579877,,,
7,quickjs,base,13.299638,0,__total 3599,,,
7,quickjs,null,13.320769,0,__total 3523,,,
7,quickjs,dit,13.439296,0,__total 3392,,,
8,probe,base,0.023987,0,PROBE dit=0 const_ns_per_hop=0.2241 perm_ns_per_hop=0.8710 const_over_perm=0.2573 ck=665,0.2241,0.8710,0
8,probe,null,0.025645,0,PROBE dit=0 const_ns_per_hop=0.2320 perm_ns_per_hop=0.8744 const_over_perm=0.2653 ck=665,0.2320,0.8744,0
8,probe,dit,0.037828,0,PROBE dit=1 const_ns_per_hop=0.8693 perm_ns_per_hop=0.8726 const_over_perm=0.9962 ck=665,0.8693,0.8726,1
8,sqlite,base,3.992837,0,       TOTAL.......................................................    3.986s,,,
8,sqlite,null,3.996197,0,       TOTAL.......................................................    3.985s,,,
