K,offset,arm,cfg,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
4,0,taint,serdit,0,1,1,1,31195285.0,62240999.0,62231610.0,1.995205,441232.0,328.0,21184.0,837674463,1671.3
4,0,taint,spec,0,1,1,1,31043817.0,62240999.0,62231610.0,2.00494,439663.0,328.0,20856.0,837674463,1719.4
4,1,base,serdit,0,1,1,1,31087739.0,62240671.0,62231282.0,2.002097,0.0,0.0,20856.0,837674463,1614.6
4,1,base,spec,0,1,1,1,31087739.0,62240671.0,62231282.0,2.002097,0.0,0.0,20856.0,837674463,1683.4
4,1,blanket,serdit,0,1,1,1,33102452.0,62240671.0,62231282.0,1.880244,3923860.0,0.0,20856.0,837674463,1619.7
4,1,blanket,spec,0,1,1,1,33102452.0,62240671.0,62231282.0,1.880244,3923860.0,0.0,20856.0,837674463,1267.0
4,1,taint,serdit,0,1,1,1,31140358.0,62240999.0,62231610.0,1.998725,439727.0,328.0,21184.0,837674463,1610.5
4,1,taint,spec,0,1,1,1,31108641.0,62240999.0,62231610.0,2.000762,441534.0,328.0,20856.0,837674463,1400.8
4,2,base,serdit,0,1,1,1,31081950.0,62240671.0,62231282.0,2.00247,0.0,0.0,20856.0,837674463,1222.7
4,2,base,spec,0,1,1,1,31081950.0,62240671.0,62231282.0,2.00247,0.0,0.0,20856.0,837674463,1845.6
4,2,blanket,serdit,0,1,1,1,33092236.0,62240671.0,62231282.0,1.880824,3929721.0,0.0,20856.0,837674463,1550.2
4,2,blanket,spec,0,1,1,1,33092236.0,62240671.0,62231282.0,1.880824,3929721.0,0.0,20856.0,837674463,1543.9
4,2,taint,serdit,0,1,1,1,31109722.0,62240999.0,62231610.0,2.000693,441257.0,328.0,21184.0,837674463,1130.9
4,2,taint,spec,0,1,1,1,31026034.0,62240999.0,62231610.0,2.006089,439810.0,328.0,20856.0,837674463,1096.1
4,3,base,serdit,0,1,1,1,31044916.0,62240671.0,62231282.0,2.004859,0.0,0.0,20856.0,837674463,1739.7
4,3,base,spec,0,1,1,1,31044916.0,62240671.0,62231282.0,2.004859,0.0,0.0,20856.0,837674463,1470.2
4,3,blanket,serdit,0,1,1,1,33098268.0,62240671.0,62231282.0,1.880481,3926766.0,0.0,20856.0,837674463,1225.2
4,3,blanket,spec,0,1,1,1,33098268.0,62240671.0,62231282.0,1.880481,3926766.0,0.0,20856.0,837674463,1307.1
4,3,taint,serdit,0,1,1,1,31078035.0,62240999.0,62231610.0,2.002733,441284.0,328.0,21184.0,837674463,1541.9
4,3,taint,spec,0,1,1,1,31046258.0,62240999.0,62231610.0,2.004783,439747.0,328.0,20856.0,837674463,1392.3
4,4,base,serdit,0,1,1,1,31013509.0,62240671.0,62231282.0,2.006889,0.0,0.0,20856.0,837674463,1397.3
4,4,base,spec,0,1,1,1,31013509.0,62240671.0,62231282.0,2.006889,0.0,0.0,20856.0,837674463,1409.0
4,4,blanket,serdit,0,1,1,1,33072865.0,62240671.0,62231282.0,1.881926,3928661.0,0.0,20856.0,837674463,1391.7
4,4,blanket,spec,0,1,1,1,33072865.0,62240671.0,62231282.0,1.881926,3928661.0,0.0,20856.0,837674463,1207.7
4,4,taint,serdit,0,1,1,1,31008263.0,62240999.0,62231610.0,2.007239,450012.0,328.0,21184.0,837674463,1662.5
4,4,taint,spec,0,1,1,1,31020304.0,62240999.0,62231610.0,2.00646,452408.0,328.0,20856.0,837674463,1420.8
10,0,base,serdit,0,1,1,1,33368502.0,68374835.0,68365409.0,2.049083,0.0,0.0,21300.0,837723550,1351.6
10,0,base,spec,0,1,1,1,33368502.0,68374835.0,68365409.0,2.049083,0.0,0.0,21300.0,837723550,1407.4
10,0,blanket,serdit,0,1,1,1,35338473.0,68374835.0,68365409.0,1.934855,6004070.0,0.0,21300.0,837723550,1422.4
10,0,blanket,spec,0,1,1,1,35338473.0,68374835.0,68365409.0,1.934855,6004070.0,0.0,21300.0,837723550,1307.3
10,0,taint,serdit,0,1,1,1,33398063.0,68376099.0,68366673.0,2.047307,1449366.0,1264.0,22564.0,837723550,1956.8
10,0,taint,spec,0,1,1,1,33318710.0,68376099.0,68366673.0,2.052183,1447020.0,1264.0,21300.0,837723550,1460.0
10,1,base,serdit,0,1,1,1,33377435.0,68374835.0,68365409.0,2.048535,0.0,0.0,21300.0,837723550,1469.3
10,1,base,spec,0,1,1,1,33377435.0,68374835.0,68365409.0,2.048535,0.0,0.0,21300.0,837723550,1558.7
10,1,blanket,serdit,0,1,1,1,35345902.0,68374835.0,68365409.0,1.934449,6007323.0,0.0,21300.0,837723550,1335.4
10,1,blanket,spec,0,1,1,1,35345902.0,68374835.0,68365409.0,1.934449,6007323.0,0.0,21300.0,837723550,1413.2
10,1,taint,serdit,0,1,1,1,33356158.0,68376099.0,68366673.0,2.049879,1449045.0,1264.0,22564.0,837723550,1528.9
10,1,taint,spec,0,1,1,1,33341430.0,68376099.0,68366673.0,2.050785,1439506.0,1264.0,21300.0,837723550,1500.5
10,2,base,serdit,0,1,1,1,33369141.0,68374835.0,68365409.0,2.049044,0.0,0.0,21300.0,837723550,1448.9
10,2,base,spec,0,1,1,1,33369141.0,68374835.0,68365409.0,2.049044,0.0,0.0,21300.0,837723550,1814.1
10,2,blanket,serdit,0,1,1,1,35324062.0,68374835.0,68365409.0,1.935645,6005095.0,0.0,21300.0,837723550,1622.0
10,2,blanket,spec,0,1,1,1,35324062.0,68374835.0,68365409.0,1.935645,6005095.0,0.0,21300.0,837723550,1683.4
10,2,taint,serdit,0,1,1,1,33299592.0,68376099.0,68366673.0,2.053361,1455090.0,1264.0,22564.0,837723550,1518.2
10,2,taint,spec,0,1,1,1,33382144.0,68376099.0,68366673.0,2.048284,1440634.0,1264.0,21300.0,837723550,1697.4
10,3,base,serdit,0,1,1,1,33289481.0,68374835.0,68365409.0,2.053947,0.0,0.0,21300.0,837723550,1203.5
10,3,base,spec,0,1,1,1,33289481.0,68374835.0,68365409.0,2.053947,0.0,0.0,21300.0,837723550,1680.5
10,3,blanket,serdit,0,1,1,1,35319573.0,68374835.0,68365409.0,1.935891,6009457.0,0.0,21300.0,837723550,1560.9
10,3,blanket,spec,0,1,1,1,35319573.0,68374835.0,68365409.0,1.935891,6009457.0,0.0,21300.0,837723550,1551.6
10,3,taint,serdit,0,1,1,1,33347287.0,68376099.0,68366673.0,2.050425,1465852.0,1264.0,22564.0,837723550,1284.9
10,3,taint,spec,0,1,1,1,33238014.0,68376099.0,68366673.0,2.057166,1466179.0,1264.0,21300.0,837723550,1518.5
10,4,base,serdit,0,1,1,1,33364030.0,68374835.0,68365409.0,2.049358,0.0,0.0,21300.0,837723550,1555.3
10,4,base,spec,0,1,1,1,33364030.0,68374835.0,68365409.0,2.049358,0.0,0.0,21300.0,837723550,1819.3
10,4,blanket,serdit,0,1,1,1,35326973.0,68374835.0,68365409.0,1.935485,6024222.0,0.0,21300.0,837723550,1664.8
10,4,blanket,spec,0,1,1,1,35326973.0,68374835.0,68365409.0,1.935485,6024222.0,0.0,21300.0,837723550,1128.8
10,4,taint,serdit,0,1,1,1,33269608.0,68376099.0,68366673.0,2.055212,1468277.0,1264.0,22564.0,837723550,1772.9
10,4,taint,spec,0,1,1,1,33219794.0,68376099.0,68366673.0,2.058294,1468138.0,1264.0,21300.0,837723550,1546.3
25,0,base,serdit,0,1,1,1,38644527.0,82633907.0,82624356.0,2.138308,0.0,0.0,22274.0,837849420,1696.3
25,0,base,spec,0,1,1,1,38644527.0,82633907.0,82624356.0,2.138308,0.0,0.0,22274.0,837849420,2022.0
25,0,blanket,serdit,0,1,1,1,40544345.0,82633907.0,82624356.0,2.038112,10995615.0,0.0,22274.0,837849420,1719.4
25,0,blanket,spec,0,1,1,1,40544345.0,82633907.0,82624356.0,2.038112,10995615.0,0.0,22274.0,837849420,2002.1
25,0,taint,serdit,0,1,1,1,38544805.0,82637215.0,82627664.0,2.143926,3737096.0,3308.0,25582.0,837849420,1601.7
25,0,taint,spec,0,1,1,1,38421566.0,82637215.0,82627664.0,2.150803,3738269.0,3308.0,22274.0,837849420,1592.0
25,1,base,serdit,0,1,1,1,38590190.0,82633907.0,82624356.0,2.141319,0.0,0.0,22274.0,837849420,2035.0
25,1,base,spec,0,1,1,1,38590190.0,82633907.0,82624356.0,2.141319,0.0,0.0,22274.0,837849420,2100.2
25,1,blanket,serdit,0,1,1,1,40513405.0,82633907.0,82624356.0,2.039668,10957137.0,0.0,22274.0,837849420,1584.2
25,1,blanket,spec,0,1,1,1,40513405.0,82633907.0,82624356.0,2.039668,10957137.0,0.0,22274.0,837849420,1579.5
25,1,taint,serdit,0,1,1,1,38507127.0,82637215.0,82627664.0,2.146024,3733060.0,3308.0,25582.0,837849420,1997.0
25,1,taint,spec,0,1,1,1,38443765.0,82637215.0,82627664.0,2.149561,3697982.0,3308.0,22274.0,837849420,1659.9
25,2,base,serdit,0,1,1,1,38639439.0,82633907.0,82624356.0,2.13859,0.0,0.0,22274.0,837849420,2195.1
25,2,base,spec,0,1,1,1,38639439.0,82633907.0,82624356.0,2.13859,0.0,0.0,22274.0,837849420,1745.0
25,2,blanket,serdit,0,1,1,1,40546095.0,82633907.0,82624356.0,2.038024,10996755.0,0.0,22274.0,837849420,1647.2
25,2,blanket,spec,0,1,1,1,40546095.0,82633907.0,82624356.0,2.038024,10996755.0,0.0,22274.0,837849420,1669.4
25,2,taint,serdit,0,1,1,1,38579876.0,82637215.0,82627664.0,2.141977,3737093.0,3308.0,25582.0,837849420,2118.6
25,2,taint,spec,0,1,1,1,38464672.0,82637215.0,82627664.0,2.148393,3741156.0,3308.0,22274.0,837849420,2160.2
25,3,base,serdit,0,1,1,1,38518006.0,82633907.0,82624356.0,2.145332,0.0,0.0,22274.0,837849420,1375.2
25,3,base,spec,0,1,1,1,38518006.0,82633907.0,82624356.0,2.145332,0.0,0.0,22274.0,837849420,2164.1
25,3,blanket,serdit,0,1,1,1,40513835.0,82633907.0,82624356.0,2.039647,10969042.0,0.0,22274.0,837849420,2072.2
25,3,blanket,spec,0,1,1,1,40513835.0,82633907.0,82624356.0,2.039647,10969042.0,0.0,22274.0,837849420,1738.0
25,3,taint,serdit,0,1,1,1,38572920.0,82637215.0,82627664.0,2.142363,3780737.0,3308.0,25582.0,837849420,1369.0
25,3,taint,spec,0,1,1,1,38410365.0,82637215.0,82627664.0,2.15143,3794046.0,3308.0,22274.0,837849420,1902.9
25,4,base,serdit,0,1,1,1,38564933.0,82633907.0,82624356.0,2.142721,0.0,0.0,22274.0,837849420,1850.6
25,4,base,spec,0,1,1,1,38564933.0,82633907.0,82624356.0,2.142721,0.0,0.0,22274.0,837849420,1992.7
25,4,blanket,serdit,0,1,1,1,40509806.0,82633907.0,82624356.0,2.039849,10968210.0,0.0,22274.0,837849420,1512.1
25,4,blanket,spec,0,1,1,1,40509806.0,82633907.0,82624356.0,2.039849,10968210.0,0.0,22274.0,837849420,1505.0
25,4,taint,serdit,0,1,1,1,38519389.0,82637215.0,82627664.0,2.145341,3780344.0,3308.0,25582.0,837849420,1749.1
25,4,taint,spec,0,1,1,1,38424537.0,82637215.0,82627664.0,2.150637,3794592.0,3308.0,22274.0,837849420,2040.8
50,0,base,serdit,0,1,1,1,47578990.0,106849577.0,106839831.0,2.24573,0.0,0.0,23954.0,838059525,2086.4
50,0,base,spec,0,1,1,1,47578990.0,106849577.0,106839831.0,2.24573,0.0,0.0,23954.0,838059525,2014.9
50,0,blanket,serdit,0,1,1,1,49364193.0,106849577.0,106839831.0,2.164516,19320486.0,0.0,23954.0,838059525,2052.1
50,0,blanket,spec,0,1,1,1,49364193.0,106849577.0,106839831.0,2.164516,19320486.0,0.0,23954.0,838059525,2111.2
50,0,taint,serdit,0,1,1,1,47401875.0,106856415.0,106846669.0,2.254266,7645505.0,6838.0,30792.0,838059525,2037.7
50,0,taint,spec,0,1,1,1,47233244.0,106856415.0,106846669.0,2.262314,7634443.0,6838.0,23954.0,838059525,2033.6
50,1,base,serdit,0,1,1,1,47476462.0,106849577.0,106839831.0,2.25058,0.0,0.0,23954.0,838059525,2056.0
50,1,base,spec,0,1,1,1,47476462.0,106849577.0,106839831.0,2.25058,0.0,0.0,23954.0,838059525,2431.5
50,1,blanket,serdit,0,1,1,1,49373517.0,106849577.0,106839831.0,2.164107,19365142.0,0.0,23954.0,838059525,1778.7
50,1,blanket,spec,0,1,1,1,49373517.0,106849577.0,106839831.0,2.164107,19365142.0,0.0,23954.0,838059525,2367.2
50,1,taint,serdit,0,1,1,1,47485886.0,106856415.0,106846669.0,2.250277,7645525.0,6838.0,30792.0,838059525,2080.8
50,1,taint,spec,0,1,1,1,47236592.0,106856415.0,106846669.0,2.262153,7619869.0,6838.0,23954.0,838059525,1972.2
50,2,base,serdit,0,1,1,1,47593274.0,106849577.0,106839831.0,2.245056,0.0,0.0,23954.0,838059525,2026.3
50,2,base,spec,0,1,1,1,47593274.0,106849577.0,106839831.0,2.245056,0.0,0.0,23954.0,838059525,2342.3
50,2,blanket,serdit,0,1,1,1,49361833.0,106849577.0,106839831.0,2.164619,19331763.0,0.0,23954.0,838059525,1822.9
50,2,blanket,spec,0,1,1,1,49361833.0,106849577.0,106839831.0,2.164619,19331763.0,0.0,23954.0,838059525,1984.9
50,2,taint,serdit,0,1,1,1,47434036.0,106856415.0,106846669.0,2.252737,7645463.0,6838.0,30792.0,838059525,2368.3
50,2,taint,spec,0,1,1,1,47206043.0,106856415.0,106846669.0,2.263617,7646782.0,6838.0,23954.0,838059525,1884.6
50,3,base,serdit,0,1,1,1,47489629.0,106849577.0,106839831.0,2.249956,0.0,0.0,23954.0,838059525,2082.9
50,3,base,spec,0,1,1,1,47489629.0,106849577.0,106839831.0,2.249956,0.0,0.0,23954.0,838059525,2675.1
50,3,blanket,serdit,0,1,1,1,49356038.0,106849577.0,106839831.0,2.164873,19338836.0,0.0,23954.0,838059525,1666.5
50,3,blanket,spec,0,1,1,1,49356038.0,106849577.0,106839831.0,2.164873,19338836.0,0.0,23954.0,838059525,1502.3
50,3,taint,serdit,0,1,1,1,47416198.0,106856415.0,106846669.0,2.253585,7749618.0,6838.0,30792.0,838059525,2003.2
