# Experiment 01, the wallet flow under gem5 with the four arms, 2026-09-05: base (libsecp256k1 through the pass with an empty seed, coin selection plain C++), blanket (base + the constructor's msr DIT #1), api (base with secp256k1_ecdsa_sign and secp256k1_ec_pubkey_create wrapped in Apple's prologue/epilogue: mrs DIT token, msr DIT #1, isb sy for sb, call, clear only if the token was 0; --wrap), apinop (the same wrapper with every DIT instruction a NOP), taint (ExpeDITe at the shipped defaults: callee contract, twins, intra-block placement; seed_flow_contract.txt, the owned list).
# K = inputs signed per flow; spec = renamed MSR DIT, serdit = serialising; 5 argv[0] offsets; 450 runs, all gates pass. Compiler dit-tainter (LLVM 9d596a3c2858 code); gem5 the rig worktree's build (pre master #106).
# taintx = ExpeDITe with -taint-dit-external-preserves (library obj/taintx), 90 cells added 2026-09-05 evening, all gates pass.
K,offset,arm,cfg,rc,iter,warmup,targets,cycles,numInsts,simInsts,ipc,ditSuppressed,ditSwitches,commitNonSpecStalls,checksum,wall_s
1,1,api,spec,0,1,1,1,30280009.0,59968359.0,59958990.0,1.98046,112653.0,4.0,20738.0,837648726,
1,1,apinop,serdit,0,1,1,1,30227450.0,59968359.0,59958984.0,1.983904,0.0,0.0,20736.0,837648726,
1,1,apinop,spec,0,1,1,1,30227450.0,59968359.0,59958984.0,1.983904,0.0,0.0,20736.0,837648726,
1,1,base,serdit,0,1,1,1,30390744.0,59968335.0,59958966.0,1.973243,0.0,0.0,20736.0,837648726,
1,1,base,spec,0,1,1,1,30390744.0,59968335.0,59958966.0,1.973243,0.0,0.0,20736.0,837648726,
1,1,blanket,serdit,0,1,1,1,32265097.0,59968335.0,59958966.0,1.858613,3063661.0,0.0,20736.0,837648726,
1,1,blanket,spec,0,1,1,1,32265097.0,59968335.0,59958966.0,1.858613,3063661.0,0.0,20736.0,837648726,
1,1,taint,serdit,0,1,1,1,30188940.0,59969625.0,59960256.0,1.986477,114029.0,156.0,20894.0,837648726,
1,1,taint,spec,0,1,1,1,30139901.0,59969625.0,59960256.0,1.989709,114046.0,156.0,20738.0,837648726,
1,1,taintx,serdit,0,1,1,1,30158418.0,59969613.0,59960244.0,1.988487,115851.0,144.0,20882.0,837648726,1286.7
1,1,taintx,spec,0,1,1,1,30165663.0,59969613.0,59960244.0,1.988009,115708.0,144.0,20738.0,837648726,1347.8
1,2,api,serdit,0,1,1,1,30063709.0,59968359.0,59958990.0,1.994709,111109.0,4.0,20740.0,837648726,
1,2,api,spec,0,1,1,1,30038105.0,59968359.0,59958990.0,1.99641,111136.0,4.0,20738.0,837648726,
