row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
AEAD-AES-256-GCM-SIV open [1350 B],AEAD-AES-256-GCM-SIV open,1350,9666.9286,11235.2857,,9678.8929,11235.2857,0.0000,9803.0714,11288.2857,3.0000,9759.5000,11282.2857,2.0000,9697.6429,11288.2857,3.0000,9697.6429,11282.2857,2.0000
AEAD-AES-256-GCM-SIV open [16 B],AEAD-AES-256-GCM-SIV open,16,1534.6127,1785.0462,,1547.3815,1785.0462,0.0000,1656.5896,1838.0462,3.0000,1607.7052,1832.0462,2.0000,1564.2890,1838.0462,3.0000,1563.3064,1832.0462,2.0000
AEAD-AES-256-GCM-SIV open [16384 B],AEAD-AES-256-GCM-SIV open,16384,99838.0000,115014.0000,,99840.5000,115014.0000,0.0000,99883.5000,115067.0000,3.0000,99831.0000,115061.0000,2.0000,99788.5000,115067.0000,3.0000,99790.5000,115061.0000,2.0000
AEAD-AES-256-GCM-SIV open [256 B],AEAD-AES-256-GCM-SIV open,256,2907.1667,3400.0889,,2926.2778,3400.0889,0.0000,3046.4556,3453.0889,3.0000,3003.1889,3447.0889,2.0000,2942.2000,3453.0889,3.0000,2942.2111,3447.0889,2.0000
AEAD-AES-256-GCM-SIV open [8192 B],AEAD-AES-256-GCM-SIV open,8192,50590.2000,58307.6000,,50601.0000,58307.6000,0.0000,50670.6000,58360.6000,3.0000,50626.6000,58354.6000,2.0000,50583.4000,58360.6000,3.0000,50584.0000,58354.6000,2.0000
AEAD-AES-256-GCM-SIV open init,AEAD-AES-256-GCM-SIV open init,,188.1059,396.0092,,189.0690,396.0092,0.0000,303.0322,417.0092,2.0000,258.0230,412.0092,1.0000,197.1105,417.0092,2.0000,197.0736,412.0092,1.0000
AEAD-AES-256-GCM-SIV seal [1350 B],AEAD-AES-256-GCM-SIV seal,1350,10181.0714,11191.2857,,10362.7143,11191.2857,0.0000,9740.9286,11210.2857,2.0000,9698.6071,11206.2857,1.0000,10353.6786,11210.2857,2.0000,10352.8214,11206.2857,1.0000
AEAD-AES-256-GCM-SIV seal [16 B],AEAD-AES-256-GCM-SIV seal,16,1523.6221,1745.0465,,1537.3081,1745.0465,0.0000,1609.3023,1764.0465,2.0000,1566.2093,1760.0465,1.0000,1539.3256,1764.0465,2.0000,1538.2500,1760.0465,1.0000
AEAD-AES-256-GCM-SIV seal [16384 B],AEAD-AES-256-GCM-SIV seal,16384,104922.5000,114970.0000,,107960.5000,114970.0000,0.0000,99835.5000,114989.0000,2.0000,99791.0000,114985.0000,1.0000,107960.0000,114989.0000,2.0000,107961.5000,114985.0000,1.0000
AEAD-AES-256-GCM-SIV seal [256 B],AEAD-AES-256-GCM-SIV seal,256,3029.8132,3356.0879,,3056.3956,3356.0879,0.0000,2986.3846,3375.0879,2.0000,2944.4945,3371.0879,1.0000,3045.3297,3375.0879,2.0000,3045.5495,3371.0879,1.0000
AEAD-AES-256-GCM-SIV seal [8192 B],AEAD-AES-256-GCM-SIV seal,8192,53154.8000,58263.6000,,54658.2000,58263.6000,0.0000,50626.4000,58282.6000,2.0000,50585.8000,58278.6000,1.0000,54658.0000,58282.6000,2.0000,54659.0000,58278.6000,1.0000
AEAD-AES-256-GCM-SIV seal init,AEAD-AES-256-GCM-SIV seal init,,188.3156,396.0092,,189.1156,396.0092,0.0000,303.0671,417.0092,2.0000,258.1121,412.0092,1.0000,197.1306,417.0092,2.0000,197.1110,412.0092,1.0000
AEAD-ChaCha20-Poly1305 seal [1350 B],AEAD-ChaCha20-Poly1305 seal,1350,5347.7931,11036.2759,,5344.2069,11036.2759,0.0000,5408.5862,11055.2759,2.0000,5365.4138,11051.2759,1.0000,5347.1034,11055.2759,2.0000,5343.1724,11051.2759,1.0000
AEAD-ChaCha20-Poly1305 seal [16 B],AEAD-ChaCha20-Poly1305 seal,16,1236.4096,1463.0482,,1256.1446,1463.0482,0.0000,1323.8193,1482.0482,2.0000,1280.4578,1478.0482,1.0000,1258.9157,1482.0482,2.0000,1257.5060,1478.0482,1.0000
AEAD-ChaCha20-Poly1305 seal [16384 B],AEAD-ChaCha20-Poly1305 seal,16384,52717.0000,115084.6667,,52717.6667,115084.6667,0.0000,52779.6667,115103.6667,2.0000,52746.6667,115099.6667,1.0000,52723.6667,115103.6667,2.0000,52723.6667,115099.6667,1.0000
AEAD-ChaCha20-Poly1305 seal [256 B],AEAD-ChaCha20-Poly1305 seal,256,1534.5287,2501.0920,,1545.6322,2501.0920,0.0000,1614.3678,2520.0920,2.0000,1564.2759,2516.0920,1.0000,1548.9195,2520.0920,2.0000,1549.2299,2516.0920,1.0000
AEAD-ChaCha20-Poly1305 seal [8192 B],AEAD-ChaCha20-Poly1305 seal,8192,26656.6667,57767.3333,,26658.0000,57767.3333,0.0000,26717.8333,57786.3333,2.0000,26678.5000,57782.3333,1.0000,26654.6667,57786.3333,2.0000,26659.5000,57782.3333,1.0000
AEAD-ChaCha20-Poly1305 seal init,AEAD-ChaCha20-Poly1305 seal init,,61.0450,142.0040,,61.0460,142.0040,0.0000,124.0360,163.0040,2.0000,88.0505,158.0040,1.0000,70.0375,163.0040,2.0000,69.0430,158.0040,1.0000
AEAD-DES-EDE3-CBC-SHA1 seal [1350 B],AEAD-DES-EDE3-CBC-SHA1 seal,1350,214544.0000,266327.0000,,215664.0000,266327.0000,0.0000,215740.0000,266444.0000,8.0000,215690.0000,266440.0000,7.0000,215872.0000,266444.0000,8.0000,215618.0000,266440.0000,7.0000
AEAD-DES-EDE3-CBC-SHA1 seal [16 B],AEAD-DES-EDE3-CBC-SHA1 seal,16,6874.7647,9330.2353,,6884.1471,9330.2353,0.0000,7198.6471,9431.2353,7.0000,7162.2353,9427.2353,6.0000,6901.2941,9431.2353,7.0000,6901.0588,9427.2353,6.0000
AEAD-DES-EDE3-CBC-SHA1 seal [16384 B],AEAD-DES-EDE3-CBC-SHA1 seal,16384,2549565.0000,3153624.0000,,2561093.0000,3153624.0000,0.0000,2561981.0000,3153725.0000,7.0000,2561949.0000,3153721.0000,6.0000,2563106.0000,3153725.0000,7.0000,2561891.0000,3153721.0000,6.0000
AEAD-DES-EDE3-CBC-SHA1 seal [256 B],AEAD-DES-EDE3-CBC-SHA1 seal,256,44333.6000,55529.6000,,44468.4000,55529.6000,0.0000,44794.2000,55630.6000,7.0000,44759.8000,55626.6000,6.0000,44483.8000,55630.6000,7.0000,44473.4000,55626.6000,6.0000
AEAD-DES-EDE3-CBC-SHA1 seal [8192 B],AEAD-DES-EDE3-CBC-SHA1 seal,8192,1276909.0000,1579992.0000,,1282483.0000,1579992.0000,0.0000,1283158.0000,1580093.0000,7.0000,1283133.0000,1580089.0000,6.0000,1283502.0000,1580093.0000,7.0000,1283223.0000,1580089.0000,6.0000
AEAD-DES-EDE3-CBC-SHA1 seal init,AEAD-DES-EDE3-CBC-SHA1 seal init,,2159.8846,5169.1026,,2045.9103,5169.1026,0.0000,2125.9231,5206.1026,3.0000,2080.8333,5201.1026,2.0000,2054.6026,5206.1026,3.0000,2051.1923,5201.1026,2.0000
AES-128 decrypt,AES-128 decrypt,,54.0290,65.0040,,54.0155,65.0040,0.0000,120.0370,95.0040,2.0000,84.0155,89.0040,1.0000,54.0350,95.0040,2.0000,54.0340,89.0040,1.0000
AES-128 decrypt setup,AES-128 decrypt setup,,210.0595,248.0069,,210.0353,248.0069,0.0000,286.1690,273.0069,2.0000,251.0224,267.0069,1.0000,210.0534,273.0069,2.0000,210.0388,267.0069,1.0000
AES-128 encrypt,AES-128 encrypt,,54.0295,65.0040,,54.0220,65.0040,0.0000,117.0280,95.0040,2.0000,84.0135,89.0040,1.0000,54.0345,95.0040,2.0000,54.0285,89.0040,1.0000
AES-128 encrypt setup,AES-128 encrypt setup,,174.0587,198.0059,,174.0587,198.0059,0.0000,266.0448,223.0059,2.0000,228.0330,217.0059,1.0000,174.0624,223.0059,2.0000,174.0550,217.0059,1.0000
AES-192 decrypt,AES-192 decrypt,,63.0355,73.0040,,63.0160,73.0040,0.0000,129.0415,103.0040,2.0000,92.0135,97.0040,1.0000,63.0290,103.0040,2.0000,63.0265,97.0040,1.0000
