row,family,size,cycles_A,instrs_A,ditwrites_A,cycles_C,instrs_C,ditwrites_C,cycles_B,instrs_B,ditwrites_B,cycles_H,instrs_H,ditwrites_H,cycles_Be,instrs_Be,ditwrites_Be,cycles_He,instrs_He,ditwrites_He
EVP-AES-192-CTR encrypt [8192 B],EVP-AES-192-CTR encrypt,8192,8850.8095,19249.3810,,8862.2381,19249.3810,0.0000,9034.6190,19314.3810,6.0000,8941.7619,19299.3810,3.0000,8859.1905,19314.3810,6.0000,8877.8571,19299.3810,3.0000
EVP-AES-192-CTR encrypt init,EVP-AES-192-CTR encrypt init,,239.4631,528.0107,,249.1866,528.0107,0.0000,369.2188,549.0107,2.0000,322.1114,544.0107,1.0000,250.5517,549.0107,2.0000,250.2577,544.0107,1.0000
EVP-AES-192-GCM decrypt [1350 B],EVP-AES-192-GCM decrypt,1350,1713.9512,5063.0976,,1764.8659,5063.0976,0.0000,2064.7317,5150.0976,8.0000,1927.3902,5129.0976,4.0000,1727.7317,5150.0976,8.0000,1772.7317,5129.0976,4.0000
EVP-AES-192-GCM decrypt [16 B],EVP-AES-192-GCM decrypt,16,419.6575,966.0184,,457.1310,966.0184,0.0000,760.9747,1053.0184,8.0000,624.0736,1032.0184,4.0000,444.7241,1053.0184,8.0000,459.1540,1032.0184,4.0000
EVP-AES-192-GCM decrypt [16384 B],EVP-AES-192-GCM decrypt,16384,15244.7500,50731.0000,,15275.7500,50731.0000,0.0000,15569.8750,50818.0000,8.0000,15432.5000,50797.0000,4.0000,15249.0000,50818.0000,8.0000,15287.8750,50797.0000,4.0000
EVP-AES-192-GCM decrypt [256 B],EVP-AES-192-GCM decrypt,256,623.4075,1590.0302,,650.2377,1590.0302,0.0000,954.6189,1677.0302,8.0000,818.0679,1656.0302,4.0000,625.1887,1677.0302,8.0000,664.2226,1656.0302,4.0000
EVP-AES-192-GCM decrypt [8192 B],EVP-AES-192-GCM decrypt,8192,7822.0625,25770.5000,,7847.8750,25770.5000,0.0000,8144.8125,25857.5000,8.0000,8013.1250,25836.5000,4.0000,7822.0000,25857.5000,8.0000,7860.0625,25836.5000,4.0000
EVP-AES-192-GCM decrypt init,EVP-AES-192-GCM decrypt init,,715.7185,1061.0265,,759.4536,1061.0265,0.0000,848.3543,1082.0265,2.0000,803.2649,1077.0265,1.0000,757.5662,1082.0265,2.0000,761.4371,1077.0265,1.0000
EVP-AES-192-GCM encrypt [1350 B],EVP-AES-192-GCM encrypt,1350,1660.4937,5042.1013,,1690.4937,5042.1013,0.0000,2043.5823,5127.1013,8.0000,1900.3671,5107.1013,4.0000,1761.9114,5127.1013,8.0000,1760.3544,5107.1013,4.0000
EVP-AES-192-GCM encrypt [16 B],EVP-AES-192-GCM encrypt,16,413.1391,945.0174,,448.2109,945.0174,0.0000,802.3457,1030.0174,8.0000,658.9457,1010.0174,4.0000,509.2543,1030.0174,8.0000,509.1565,1010.0174,4.0000
EVP-AES-192-GCM encrypt [16384 B],EVP-AES-192-GCM encrypt,16384,14265.7143,50710.1429,,14254.7143,50710.1429,0.0000,14619.5714,50795.1429,8.0000,14474.8571,50775.1429,4.0000,14325.5714,50795.1429,8.0000,14327.4286,50775.1429,4.0000
EVP-AES-192-GCM encrypt [256 B],EVP-AES-192-GCM encrypt,256,603.4656,1569.0305,,635.1450,1569.0305,0.0000,993.3321,1654.0305,8.0000,849.1107,1634.0305,4.0000,700.1947,1654.0305,8.0000,700.1527,1634.0305,4.0000
EVP-AES-192-GCM encrypt [8192 B],EVP-AES-192-GCM encrypt,8192,7347.7333,25749.5333,,7337.6667,25749.5333,0.0000,7701.6667,25834.5333,8.0000,7558.9333,25814.5333,4.0000,7409.8000,25834.5333,8.0000,7409.8667,25814.5333,4.0000
EVP-AES-192-GCM encrypt init,EVP-AES-192-GCM encrypt init,,718.6169,1061.0260,,756.4416,1061.0260,0.0000,849.0390,1082.0260,2.0000,802.3312,1077.0260,1.0000,757.3312,1082.0260,2.0000,761.2435,1077.0260,1.0000
EVP-AES-256-CBC decrypt [1350 B],EVP-AES-256-CBC decrypt,1350,1926.1059,4025.0941,,1941.8235,4025.0941,0.0000,2233.8824,4122.0941,8.0000,2133.3882,4106.0941,5.0000,2006.6941,4122.0941,8.0000,2008.2000,4106.0941,5.0000
EVP-AES-256-CBC decrypt [16 B],EVP-AES-256-CBC decrypt,16,267.3227,712.0122,,267.1431,712.0122,0.0000,585.1629,809.0122,8.0000,488.0731,793.0122,5.0000,364.0989,809.0122,8.0000,360.0761,793.0122,5.0000
EVP-AES-256-CBC decrypt [16384 B],EVP-AES-256-CBC decrypt,16384,21034.4000,41981.8000,,21039.9000,41981.8000,0.0000,21323.0000,42078.8000,8.0000,21240.5000,42062.8000,5.0000,21091.1000,42078.8000,8.0000,21071.6000,42062.8000,5.0000
EVP-AES-256-CBC decrypt [256 B],EVP-AES-256-CBC decrypt,256,549.8938,1325.0236,,578.2714,1325.0236,0.0000,895.1239,1422.0236,8.0000,796.0442,1406.0236,5.0000,644.0442,1422.0236,8.0000,640.0472,1406.0236,5.0000
EVP-AES-256-CBC decrypt [8192 B],EVP-AES-256-CBC decrypt,8192,10623.6500,21293.4000,,10623.0000,21293.4000,0.0000,10930.0500,21390.4000,8.0000,10822.7500,21374.4000,5.0000,10686.4500,21390.4000,8.0000,10666.6500,21374.4000,5.0000
EVP-AES-256-CBC decrypt init,EVP-AES-256-CBC decrypt init,,285.8019,627.0126,,286.0881,627.0126,0.0000,380.1572,648.0126,2.0000,334.0928,643.0126,1.0000,288.2123,648.0126,2.0000,287.1918,643.0126,1.0000
EVP-AES-256-CBC encrypt [1350 B],EVP-AES-256-CBC encrypt,1350,4712.1129,3995.1290,,4721.6129,3995.1290,0.0000,4932.5000,4060.1290,6.0000,4824.2903,4045.1290,3.0000,4731.6452,4060.1290,6.0000,4725.8226,4045.1290,3.0000
EVP-AES-256-CBC encrypt [16 B],EVP-AES-256-CBC encrypt,16,216.1636,469.0074,,225.0527,469.0074,0.0000,437.2800,534.0074,6.0000,328.0296,519.0074,3.0000,231.0730,534.0074,6.0000,228.0545,519.0074,3.0000
EVP-AES-256-CBC encrypt [16384 B],EVP-AES-256-CBC encrypt,16384,55469.2000,43436.6000,,55477.0000,43436.6000,0.0000,55685.4000,43501.6000,6.0000,55573.6000,43486.6000,3.0000,55484.6000,43501.6000,6.0000,55482.4000,43486.6000,3.0000
EVP-AES-256-CBC encrypt [256 B],EVP-AES-256-CBC encrypt,256,1026.3345,1099.0288,,1038.1331,1099.0288,0.0000,1250.1763,1164.0288,6.0000,1138.0647,1149.0288,3.0000,1044.1511,1164.0288,6.0000,1042.1511,1149.0288,3.0000
EVP-AES-256-CBC encrypt [8192 B],EVP-AES-256-CBC encrypt,8192,27815.5000,21931.8000,,27825.4000,21931.8000,0.0000,28036.2000,21996.8000,6.0000,27923.8000,21981.8000,3.0000,27832.3000,21996.8000,6.0000,27830.2000,21981.8000,3.0000
EVP-AES-256-CBC encrypt init,EVP-AES-256-CBC encrypt init,,260.7764,558.0114,,261.0783,558.0114,0.0000,353.1795,579.0114,2.0000,305.0499,574.0114,1.0000,264.0869,579.0114,2.0000,262.0869,574.0114,1.0000
EVP-AES-256-CTR decrypt [1350 B],EVP-AES-256-CTR decrypt,1350,1883.9906,4069.0755,,1885.7170,4069.0755,0.0000,2103.9528,4150.0755,7.0000,2017.6321,4134.0755,4.0000,1915.7642,4150.0755,7.0000,1914.9528,4134.0755,4.0000
EVP-AES-256-CTR decrypt [16 B],EVP-AES-256-CTR decrypt,16,191.0457,425.0066,,191.0507,425.0066,0.0000,387.1578,506.0066,7.0000,306.0831,490.0066,4.0000,225.0573,506.0066,7.0000,221.0822,490.0066,4.0000
EVP-AES-256-CTR decrypt [16384 B],EVP-AES-256-CTR decrypt,16384,20647.6667,43739.8889,,20647.6667,43739.8889,0.0000,20852.5556,43820.8889,7.0000,20768.0000,43804.8889,4.0000,20685.7778,43820.8889,7.0000,20682.8889,43804.8889,4.0000
EVP-AES-256-CTR decrypt [256 B],EVP-AES-256-CTR decrypt,256,467.9032,1067.0184,,472.0737,1067.0184,0.0000,690.1475,1148.0184,7.0000,604.0369,1132.0184,4.0000,501.1175,1148.0184,7.0000,499.0806,1132.0184,4.0000
EVP-AES-256-CTR decrypt [8192 B],EVP-AES-256-CTR decrypt,8192,10372.2632,22023.4211,,10373.6316,22023.4211,0.0000,10592.4737,22104.4211,7.0000,10506.4211,22088.4211,4.0000,10404.7895,22104.4211,7.0000,10403.8947,22088.4211,4.0000
EVP-AES-256-CTR decrypt init,EVP-AES-256-CTR decrypt init,,222.3320,534.0109,,228.2855,534.0109,0.0000,344.1243,555.0109,2.0000,296.2964,550.0109,1.0000,234.3128,555.0109,2.0000,237.1380,550.0109,1.0000
EVP-AES-256-CTR encrypt [1350 B],EVP-AES-256-CTR encrypt,1350,1868.1111,4031.0741,,1872.4815,4031.0741,0.0000,2062.6759,4096.0741,6.0000,1973.4444,4081.0741,3.0000,1889.7963,4096.0741,6.0000,1887.9259,4081.0741,3.0000
EVP-AES-256-CTR encrypt [16 B],EVP-AES-256-CTR encrypt,16,171.1019,387.0060,,171.0614,387.0060,0.0000,345.1356,452.0060,6.0000,257.0547,437.0060,3.0000,194.0652,452.0060,6.0000,193.0719,437.0060,3.0000
EVP-AES-256-CTR encrypt [16384 B],EVP-AES-256-CTR encrypt,16384,20633.2222,43701.8889,,20630.5556,43701.8889,0.0000,20811.4444,43766.8889,6.0000,20723.2222,43751.8889,3.0000,20653.3333,43766.8889,6.0000,20655.5556,43751.8889,3.0000
EVP-AES-256-CTR encrypt [256 B],EVP-AES-256-CTR encrypt,256,447.3392,1029.0177,,466.0976,1029.0177,0.0000,650.0288,1094.0177,6.0000,561.0355,1079.0177,3.0000,473.1863,1094.0177,6.0000,472.0976,1079.0177,3.0000
EVP-AES-256-CTR encrypt [8192 B],EVP-AES-256-CTR encrypt,8192,10366.8421,21985.4211,,10368.2105,21985.4211,0.0000,10550.6842,22050.4211,6.0000,10461.8421,22035.4211,3.0000,10380.5789,22050.4211,6.0000,10377.3684,22035.4211,3.0000
EVP-AES-256-CTR encrypt init,EVP-AES-256-CTR encrypt init,,218.8076,531.0108,,230.0705,531.0108,0.0000,343.2114,552.0108,2.0000,295.4268,547.0108,1.0000,235.4390,552.0108,2.0000,235.2263,547.0108,1.0000
EVP-AES-256-GCM decrypt [1350 B],EVP-AES-256-GCM decrypt,1350,1742.7500,5415.1053,,1801.8026,5415.1053,0.0000,2099.1842,5502.1053,8.0000,1957.4342,5481.1053,4.0000,1765.9868,5502.1053,8.0000,1803.7105,5481.1053,4.0000
EVP-AES-256-GCM decrypt [16 B],EVP-AES-256-GCM decrypt,16,434.7736,990.0189,,467.1557,990.0189,0.0000,772.3868,1077.0189,8.0000,635.0778,1056.0189,4.0000,458.0401,1077.0189,8.0000,472.1415,1056.0189,4.0000
EVP-AES-256-GCM decrypt [16384 B],EVP-AES-256-GCM decrypt,16384,15366.7143,54835.1429,,15393.7143,54835.1429,0.0000,15693.4286,54922.1429,8.0000,15530.5714,54901.1429,4.0000,15360.1429,54922.1429,8.0000,15339.8571,54901.1429,4.0000
EVP-AES-256-GCM decrypt [256 B],EVP-AES-256-GCM decrypt,256,633.6305,1662.0321,,673.4980,1662.0321,0.0000,973.8956,1749.0321,8.0000,836.1285,1728.0321,4.0000,651.6426,1749.0321,8.0000,675.1767,1728.0321,4.0000
EVP-AES-256-GCM decrypt [8192 B],EVP-AES-256-GCM decrypt,8192,7887.7143,27826.5714,,7920.0714,27826.5714,0.0000,8219.5000,27913.5714,8.0000,8066.2857,27892.5714,4.0000,7880.9286,27913.5714,8.0000,7913.4286,27892.5714,4.0000
EVP-AES-256-GCM decrypt init,EVP-AES-256-GCM decrypt init,,707.5238,1080.0272,,750.1054,1080.0272,0.0000,838.3605,1101.0272,2.0000,791.3537,1096.0272,1.0000,747.5748,1101.0272,2.0000,748.6837,1096.0272,1.0000
EVP-AES-256-GCM encrypt [1350 B],EVP-AES-256-GCM encrypt,1350,1778.3333,5394.1111,,1793.4306,5394.1111,0.0000,2138.5000,5479.1111,8.0000,2015.1944,5459.1111,4.0000,1853.3611,5479.1111,8.0000,1853.3889,5459.1111,4.0000
EVP-AES-256-GCM encrypt [16 B],EVP-AES-256-GCM encrypt,16,433.7149,969.0181,,464.2104,969.0181,0.0000,809.4887,1054.0181,8.0000,671.1652,1034.0181,4.0000,515.2308,1054.0181,8.0000,515.1606,1034.0181,4.0000
EVP-AES-256-GCM encrypt [16384 B],EVP-AES-256-GCM encrypt,16384,15433.7143,54814.1429,,15363.5714,54814.1429,0.0000,15792.4286,54899.1429,8.0000,15655.1429,54879.1429,4.0000,15498.7143,54899.1429,8.0000,15499.0000,54879.1429,4.0000
EVP-AES-256-GCM encrypt [256 B],EVP-AES-256-GCM encrypt,256,627.4677,1641.0323,,654.1492,1641.0323,0.0000,1006.3024,1726.0323,8.0000,868.1653,1706.0323,4.0000,712.6250,1726.0323,8.0000,712.1129,1706.0323,4.0000
EVP-AES-256-GCM encrypt [8192 B],EVP-AES-256-GCM encrypt,8192,7942.0714,27805.5714,,7904.0714,27805.5714,0.0000,8288.1429,27890.5714,8.0000,8148.0714,27870.5714,4.0000,7992.6429,27890.5714,8.0000,7992.0000,27870.5714,4.0000
EVP-AES-256-GCM encrypt init,EVP-AES-256-GCM encrypt init,,709.9966,1080.0270,,748.5372,1080.0270,0.0000,839.1723,1101.0270,2.0000,792.3784,1096.0270,1.0000,747.3446,1101.0270,2.0000,747.7804,1096.0270,1.0000
EVP-ChaCha20-Poly1305 decrypt [1350 B],EVP-ChaCha20-Poly1305 decrypt,1350,8664.8235,22736.4706,,8688.1176,22736.4706,0.0000,8998.7647,22823.4706,8.0000,8906.1176,22802.4706,4.0000,8776.5882,22823.4706,8.0000,8770.3529,22802.4706,4.0000
EVP-ChaCha20-Poly1305 decrypt [16 B],EVP-ChaCha20-Poly1305 decrypt,16,1585.2636,3512.0620,,1670.2481,3512.0620,0.0000,1859.2016,3599.0620,8.0000,1754.3798,3578.0620,4.0000,1610.1395,3599.0620,8.0000,1596.0388,3578.0620,4.0000
EVP-ChaCha20-Poly1305 decrypt [16384 B],EVP-ChaCha20-Poly1305 decrypt,16384,68422.0000,213364.0000,,68448.0000,213364.0000,0.0000,68812.0000,213451.0000,8.0000,68726.0000,213430.0000,4.0000,68613.0000,213451.0000,8.0000,68622.0000,213430.0000,4.0000
EVP-ChaCha20-Poly1305 decrypt [256 B],EVP-ChaCha20-Poly1305 decrypt,256,2588.0143,5697.1143,,2622.6000,5697.1143,0.0000,2864.4000,5784.1143,8.0000,2758.2714,5763.1143,4.0000,2644.8143,5784.1143,8.0000,2628.4857,5763.1143,4.0000
EVP-ChaCha20-Poly1305 decrypt [8192 B],EVP-ChaCha20-Poly1305 decrypt,8192,34726.0000,107886.6667,,34756.6667,107886.6667,0.0000,35057.3333,107973.6667,8.0000,34964.3333,107952.6667,4.0000,34849.6667,107973.6667,8.0000,34843.0000,107952.6667,4.0000
EVP-ChaCha20-Poly1305 decrypt init,EVP-ChaCha20-Poly1305 decrypt init,,177.1029,443.0079,,177.0673,443.0079,0.0000,233.1167,464.0079,2.0000,202.0613,451.0079,1.0000,181.1147,464.0079,2.0000,179.0732,451.0079,1.0000
EVP-ChaCha20-Poly1305 encrypt [1350 B],EVP-ChaCha20-Poly1305 encrypt,1350,8622.5556,22708.4444,,8664.4444,22708.4444,0.0000,8979.6111,22793.4444,8.0000,8891.8333,22773.4444,4.0000,8747.7778,22793.4444,8.0000,8766.5000,22773.4444,4.0000
EVP-ChaCha20-Poly1305 encrypt [16 B],EVP-ChaCha20-Poly1305 encrypt,16,1554.0231,3484.0615,,1587.6923,3484.0615,0.0000,1847.4077,3569.0615,8.0000,1747.6308,3549.0615,4.0000,1618.7077,3569.0615,8.0000,1617.7923,3549.0615,4.0000
EVP-ChaCha20-Poly1305 encrypt [16384 B],EVP-ChaCha20-Poly1305 encrypt,16384,68405.0000,213336.0000,,68427.0000,213336.0000,0.0000,68805.0000,213421.0000,8.0000,68713.0000,213401.0000,4.0000,68607.0000,213421.0000,8.0000,68595.0000,213401.0000,4.0000
EVP-ChaCha20-Poly1305 encrypt [256 B],EVP-ChaCha20-Poly1305 encrypt,256,2538.4857,5669.1143,,2567.5857,5669.1143,0.0000,2839.4143,5754.1143,8.0000,2739.6000,5734.1143,4.0000,2600.5571,5754.1143,8.0000,2598.4429,5734.1143,4.0000
EVP-ChaCha20-Poly1305 encrypt [8192 B],EVP-ChaCha20-Poly1305 encrypt,8192,34670.0000,107858.6667,,34707.6667,107858.6667,0.0000,35048.6667,107943.6667,8.0000,34952.3333,107923.6667,4.0000,34824.3333,107943.6667,8.0000,34807.0000,107923.6667,4.0000
EVP-ChaCha20-Poly1305 encrypt init,EVP-ChaCha20-Poly1305 encrypt init,,179.0743,443.0079,,179.0803,443.0079,0.0000,234.1070,464.0079,2.0000,202.0714,451.0079,1.0000,181.0951,464.0079,2.0000,179.0793,451.0079,1.0000
EVP-RC4 decrypt [1350 B],EVP-RC4 decrypt,1350,13552.6316,21818.4211,,13601.3158,21818.4211,0.0000,13807.1579,21899.4211,7.0000,13714.8947,21883.4211,4.0000,13607.8947,21899.4211,7.0000,13613.3684,21883.4211,4.0000
EVP-RC4 decrypt [16 B],EVP-RC4 decrypt,16,205.4323,474.0083,,261.3257,474.0083,0.0000,467.0083,555.0083,7.0000,376.6815,539.0083,4.0000,282.6350,555.0083,7.0000,285.0176,539.0083,4.0000
EVP-RC4 decrypt [16384 B],EVP-RC4 decrypt,16384,163662.0000,262370.0000,,163946.0000,262370.0000,0.0000,164094.0000,262451.0000,7.0000,164010.0000,262435.0000,4.0000,163922.0000,262451.0000,7.0000,163922.0000,262435.0000,4.0000
EVP-RC4 decrypt [256 B],EVP-RC4 decrypt,256,2621.3366,4314.0792,,2661.9901,4314.0792,0.0000,2867.5149,4395.0792,7.0000,2775.5050,4379.0792,4.0000,2681.6337,4395.0792,7.0000,2683.7624,4379.0792,4.0000
EVP-RC4 decrypt [8192 B],EVP-RC4 decrypt,8192,81937.0000,131292.6667,,82031.3333,131292.6667,0.0000,82194.6667,131373.6667,7.0000,82110.6667,131357.6667,4.0000,82005.3333,131373.6667,7.0000,82007.6667,131357.6667,4.0000
EVP-RC4 decrypt init,EVP-RC4 decrypt init,,3217.0541,4554.1081,,3188.9324,4554.1081,0.0000,3339.5270,4575.1081,2.0000,3286.1081,4570.1081,1.0000,3232.1081,4575.1081,2.0000,3198.0676,4570.1081,1.0000
EVP-RC4 encrypt [1350 B],EVP-RC4 encrypt,1350,13540.8947,21780.4211,,13614.3158,21780.4211,0.0000,13764.1579,21845.4211,6.0000,13679.8947,21830.4211,3.0000,13614.0000,21845.4211,6.0000,13613.2105,21830.4211,3.0000
EVP-RC4 encrypt [16 B],EVP-RC4 encrypt,16,198.5125,436.0077,,277.7826,436.0077,0.0000,426.2577,501.0077,6.0000,336.4703,486.0077,3.0000,271.0201,501.0077,6.0000,275.3879,486.0077,3.0000
EVP-RC4 encrypt [16384 B],EVP-RC4 encrypt,16384,163735.0000,262332.0000,,163952.0000,262332.0000,0.0000,164047.0000,262397.0000,6.0000,163971.0000,262382.0000,3.0000,163901.0000,262397.0000,6.0000,163902.0000,262382.0000,3.0000
EVP-RC4 encrypt [256 B],EVP-RC4 encrypt,256,2616.1961,4276.0784,,2677.6667,4276.0784,0.0000,2824.7843,4341.0784,6.0000,2736.0490,4326.0784,3.0000,2670.0980,4341.0784,6.0000,2674.7353,4326.0784,3.0000
EVP-RC4 encrypt [8192 B],EVP-RC4 encrypt,8192,81914.0000,131254.6667,,82051.3333,131254.6667,0.0000,82156.3333,131319.6667,6.0000,82074.6667,131304.6667,3.0000,82006.6667,131319.6667,6.0000,82005.0000,131304.6667,3.0000
EVP-RC4 encrypt init,EVP-RC4 encrypt init,,3178.5067,4560.1067,,3219.6533,4560.1067,0.0000,3333.4933,4581.1067,2.0000,3276.2800,4576.1067,1.0000,3192.7600,4581.1067,2.0000,3207.6933,4576.1067,1.0000
Ed25519 PKCS#8 v1 decode,Ed25519 PKCS#8 v1 decode,,43467.3333,109419.6667,,43477.0000,109419.6667,0.0000,43457.3333,109442.6667,2.0000,43413.0000,109437.6667,1.0000,43294.6667,109442.6667,2.0000,43319.0000,109437.6667,1.0000
Ed25519 PKCS#8 v1 encode,Ed25519 PKCS#8 v1 encode,,815.3310,1583.0285,,790.2918,1583.0285,0.0000,799.3416,1583.0285,0.0000,792.3274,1583.0285,0.0000,793.2954,1583.0285,0.0000,792.3452,1583.0285,0.0000
Ed25519 PKCS#8 v2 decode,Ed25519 PKCS#8 v2 decode,,43450.6667,109977.6667,,43632.0000,109977.6667,0.0000,43510.6667,110000.6667,2.0000,43774.6667,109995.6667,1.0000,43473.0000,110000.6667,2.0000,43595.6667,109995.6667,1.0000
Ed25519 PKCS#8 v2 encode,Ed25519 PKCS#8 v2 encode,,989.1842,1951.0351,,966.3158,1951.0351,0.0000,971.8947,1951.0351,0.0000,965.3860,1951.0351,0.0000,977.4605,1951.0351,0.0000,965.3860,1951.0351,0.0000
Ed25519 key generation,Ed25519 key generation,,44193.3333,110355.6667,,44451.3333,110355.6667,0.0000,44678.3333,110417.6667,4.0000,44644.3333,110408.6667,3.0000,44518.6667,110417.6667,4.0000,44563.0000,110408.6667,3.0000
Ed25519 signing,Ed25519 signing,,45069.5000,114251.0000,,45508.5000,114251.0000,0.0000,45547.0000,114274.0000,2.0000,45685.0000,114274.0000,1.0000,45440.5000,114274.0000,2.0000,45487.0000,114274.0000,1.0000
Ed25519 verify,Ed25519 verify,,223131.0000,577901.0000,,223914.0000,577901.0000,0.0000,226252.0000,577901.0000,0.0000,223845.0000,577901.0000,0.0000,222871.0000,577901.0000,0.0000,223925.0000,577901.0000,0.0000
FFDH 2048,FFDH 2048,,35480470.0000,122234757.0000,,35841960.0000,122234757.0000,0.0000,35836082.0000,122234904.0000,11.0000,35720130.0000,122234872.0000,7.0000,35835236.0000,122234904.0000,11.0000,35720235.0000,122234872.0000,7.0000
FFDH 4096,FFDH 4096,,384895999.0000,1085387113.0000,,377600524.0000,1085387113.0000,0.0000,377601380.0000,1085387260.0000,11.0000,376976137.0000,1085387228.0000,7.0000,377594252.0000,1085387260.0000,11.0000,376991588.0000,1085387228.0000,7.0000
Generate P-224 with EC_KEY_generate_key,Generate P-224 with EC_KEY_generate_key,,48472.0000,138078.0000,,48576.0000,138078.0000,0.0000,50925.0000,138150.0000,6.0000,51618.0000,138130.0000,3.0000,50745.0000,138150.0000,6.0000,50392.0000,138130.0000,3.0000
Generate P-224 with EC_KEY_generate_key_fips,Generate P-224 with EC_KEY_generate_key_fips,,96770.0000,276252.0000,,98375.0000,276252.0000,0.0000,100595.0000,276346.0000,8.0000,101843.0000,276321.0000,4.0000,100263.0000,276346.0000,8.0000,101166.0000,276321.0000,4.0000
Generate P-224 with EVP_PKEY_keygen,Generate P-224 with EVP_PKEY_keygen,,48569.0000,138484.0000,,49244.0000,138484.0000,0.0000,51132.0000,138581.0000,6.0000,51149.0000,138571.0000,5.0000,50986.0000,138581.0000,6.0000,51003.0000,138571.0000,5.0000
Generate P-256 with EC_KEY_generate_key,Generate P-256 with EC_KEY_generate_key,,34898.5000,87446.0000,,34194.0000,87446.0000,0.0000,35157.5000,87518.0000,6.0000,35358.5000,87498.0000,3.0000,33332.0000,87518.0000,6.0000,33362.0000,87498.0000,3.0000
Generate P-256 with EC_KEY_generate_key_fips,Generate P-256 with EC_KEY_generate_key_fips,,69367.0000,176418.0000,,68161.0000,176418.0000,0.0000,70158.0000,176512.0000,8.0000,70142.0000,176487.0000,4.0000,66088.0000,176512.0000,8.0000,66076.0000,176487.0000,4.0000
Generate P-256 with EVP_PKEY_keygen,Generate P-256 with EVP_PKEY_keygen,,34386.0000,87852.0000,,34827.5000,87852.0000,0.0000,34853.5000,87949.0000,6.0000,35102.5000,87939.0000,5.0000,33537.5000,87949.0000,6.0000,34066.5000,87939.0000,5.0000
Generate P-384 with EC_KEY_generate_key,Generate P-384 with EC_KEY_generate_key,,330258.0000,557852.0000,,329639.0000,557852.0000,0.0000,330820.0000,557924.0000,6.0000,327435.0000,557904.0000,3.0000,327645.0000,557924.0000,6.0000,327334.0000,557904.0000,3.0000
Generate P-384 with EC_KEY_generate_key_fips,Generate P-384 with EC_KEY_generate_key_fips,,635450.0000,1124919.0000,,666565.0000,1124919.0000,0.0000,666190.0000,1125013.0000,8.0000,664236.0000,1124988.0000,4.0000,665032.0000,1125013.0000,8.0000,665129.0000,1124988.0000,4.0000
Generate P-384 with EVP_PKEY_keygen,Generate P-384 with EVP_PKEY_keygen,,325467.0000,558258.0000,,330965.0000,558258.0000,0.0000,328223.0000,558355.0000,6.0000,328462.0000,558345.0000,5.0000,328057.0000,558355.0000,6.0000,327872.0000,558345.0000,5.0000
Generate P-521 with EC_KEY_generate_key,Generate P-521 with EC_KEY_generate_key,,512748.0000,1139225.0000,,510360.0000,1139225.0000,0.0000,506462.0000,1139297.0000,6.0000,506576.0000,1139277.0000,3.0000,506447.0000,1139297.0000,6.0000,506580.0000,1139277.0000,3.0000
Generate P-521 with EC_KEY_generate_key_fips,Generate P-521 with EC_KEY_generate_key_fips,,1024575.0000,2291435.0000,,1028476.0000,2291435.0000,0.0000,1016268.0000,2291529.0000,8.0000,1016646.0000,2291504.0000,4.0000,1022456.0000,2291529.0000,8.0000,1022422.0000,2291504.0000,4.0000
Generate P-521 with EVP_PKEY_keygen,Generate P-521 with EVP_PKEY_keygen,,513785.0000,1139631.0000,,512640.0000,1139631.0000,0.0000,506579.0000,1139728.0000,6.0000,506897.0000,1139718.0000,5.0000,506447.0000,1139728.0000,6.0000,506354.0000,1139718.0000,5.0000
Generate secp256k1 with EC_KEY_generate_key,Generate secp256k1 with EC_KEY_generate_key,,761387.0000,1592456.0000,,759942.0000,1592456.0000,0.0000,779196.0000,1592528.0000,6.0000,780273.0000,1592508.0000,3.0000,779056.0000,1592528.0000,6.0000,780041.0000,1592508.0000,3.0000
Generate secp256k1 with EC_KEY_generate_key_fips,Generate secp256k1 with EC_KEY_generate_key_fips,,1525782.0000,3186528.0000,,1518976.0000,3186528.0000,0.0000,1541188.0000,3186622.0000,8.0000,1541922.0000,3186597.0000,4.0000,1540841.0000,3186622.0000,8.0000,1541730.0000,3186597.0000,4.0000
Generate secp256k1 with EVP_PKEY_keygen,Generate secp256k1 with EVP_PKEY_keygen,,760539.0000,1592862.0000,,759356.0000,1592862.0000,0.0000,779504.0000,1592959.0000,6.0000,780606.0000,1592949.0000,5.0000,779339.0000,1592959.0000,6.0000,780459.0000,1592949.0000,5.0000
HRSS decap,HRSS decap,,181738.0000,336992.0000,,182704.0000,336992.0000,0.0000,180290.0000,336992.0000,0.0000,178418.0000,336984.0000,0.0000,180345.0000,336992.0000,0.0000,183076.0000,336984.0000,0.0000
HRSS encap,HRSS encap,,69140.0000,105116.0000,,69867.5000,105116.0000,0.0000,68568.5000,105163.0000,4.0000,67303.5000,105148.0000,2.0000,68362.0000,105163.0000,4.0000,70017.0000,105148.0000,2.0000
HRSS generate,HRSS generate,,1081338.0000,2163557.0000,,1091582.0000,2163557.0000,0.0000,1065427.0000,2163604.0000,4.0000,1055690.0000,2163593.0000,2.0000,1064016.0000,2163604.0000,4.0000,1094665.0000,2163593.0000,2.0000
ML-KEM-1024 decaps,ML-KEM-1024 decaps,,166257.0000,391466.0000,,168911.0000,391466.0000,0.0000,167810.0000,391423.0000,2.0000,166869.0000,391418.0000,1.0000,166916.0000,391423.0000,2.0000,167041.0000,391418.0000,1.0000
