rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
20,null,3.177185,0.288848,9.0913,10527241102943389473,0.2174,0.8696
21,oracle,3.255320,0.314316,9.6554,10527241102943389473,0.2209,0.8705
21,pass_hoist,3.623715,0.431380,11.9044,10527241102943389473,0.2209,0.8705
21,pass_clone,3.430513,0.324569,9.4612,10527241102943389473,0.2209,0.8705
21,baseline2,3.162015,0.288723,9.1310,10527241102943389473,0.2209,0.8705
21,baseline,3.187791,0.288751,9.0580,10527241102943389473,0.2209,0.8705
21,null,3.172805,0.289577,9.1268,10527241102943389473,0.2209,0.8705
21,always,3.257610,0.309401,9.4978,10527241102943389473,0.2209,0.8705
22,pass_hoist,3.527675,0.421358,11.9443,10527241102943389473,0.2280,0.8699
22,pass_clone,3.347841,0.317232,9.4757,10527241102943389473,0.2280,0.8699
22,baseline2,3.165233,0.288421,9.1122,10527241102943389473,0.2280,0.8699
22,baseline,3.167751,0.288235,9.0990,10527241102943389473,0.2280,0.8699
22,null,3.175854,0.288556,9.0859,10527241102943389473,0.2280,0.8699
22,always,3.238658,0.307646,9.4992,10527241102943389473,0.2280,0.8699
22,oracle,3.193651,0.307287,9.6218,10527241102943389473,0.2280,0.8699
23,pass_clone,3.310994,0.316725,9.5659,10527241102943389473,0.2184,0.8702
23,baseline2,3.164548,0.288768,9.1251,10527241102943389473,0.2184,0.8702
23,baseline,3.142029,0.288371,9.1779,10527241102943389473,0.2184,0.8702
23,null,3.157528,0.288393,9.1335,10527241102943389473,0.2184,0.8702
23,always,3.382585,0.312823,9.2480,10527241102943389473,0.2184,0.8702
23,oracle,3.240046,0.307531,9.4915,10527241102943389473,0.2184,0.8702
23,pass_hoist,3.510900,0.418254,11.9130,10527241102943389473,0.2184,0.8702
24,baseline2,3.161593,0.288573,9.1275,10527241102943389473,0.2186,0.8703
24,baseline,3.157808,0.288212,9.1270,10527241102943389473,0.2186,0.8703
24,null,3.139413,0.288027,9.1745,10527241102943389473,0.2186,0.8703
24,always,3.234718,0.307728,9.5133,10527241102943389473,0.2186,0.8703
24,oracle,3.238789,0.307445,9.4926,10527241102943389473,0.2186,0.8703
24,pass_hoist,3.518863,0.418295,11.8872,10527241102943389473,0.2186,0.8703
24,pass_clone,3.324516,0.317239,9.5424,10527241102943389473,0.2186,0.8703
25,baseline,3.181140,0.288577,9.0715,10527241102943389473,0.2173,0.8688
25,null,3.184475,0.289755,9.0990,10527241102943389473,0.2173,0.8688
25,always,3.255222,0.307572,9.4486,10527241102943389473,0.2173,0.8688
25,oracle,3.229301,0.306741,9.4987,10527241102943389473,0.2173,0.8688
25,pass_hoist,3.497540,0.417195,11.9283,10527241102943389473,0.2173,0.8688
25,pass_clone,3.338494,0.316958,9.4940,10527241102943389473,0.2173,0.8688
25,baseline2,3.171663,0.288772,9.1047,10527241102943389473,0.2173,0.8688
26,null,3.150161,0.288845,9.1692,10527241102943389473,0.2201,0.8689
26,always,3.238227,0.307758,9.5039,10527241102943389473,0.2201,0.8689
26,oracle,3.204313,0.306769,9.5736,10527241102943389473,0.2201,0.8689
26,pass_hoist,3.510865,0.417295,11.8858,10527241102943389473,0.2201,0.8689
26,pass_clone,3.338432,0.317049,9.4969,10527241102943389473,0.2201,0.8689
26,baseline2,3.161959,0.288678,9.1297,10527241102943389473,0.2201,0.8689
26,baseline,3.137378,0.288486,9.1951,10527241102943389473,0.2201,0.8689
27,always,3.236320,0.307490,9.5012,10527241102943389473,0.2196,0.8694
27,oracle,3.213354,0.306695,9.5444,10527241102943389473,0.2196,0.8694
27,pass_hoist,3.527423,0.416563,11.8093,10527241102943389473,0.2196,0.8694
27,pass_clone,3.306089,0.317054,9.5900,10527241102943389473,0.2196,0.8694
27,baseline2,3.335345,0.288915,8.6622,10527241102943389473,0.2196,0.8694
