rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
10,baseline2,3.163034,0.288561,9.1229,10527241102943389473,0.2172,0.8687
10,baseline,3.173027,0.288354,9.0877,10527241102943389473,0.2172,0.8687
10,null,3.149481,0.288519,9.1609,10527241102943389473,0.2172,0.8687
10,always,3.226568,0.307278,9.5234,10527241102943389473,0.2172,0.8687
10,oracle,3.172775,0.307889,9.7041,10527241102943389473,0.2172,0.8687
11,pass_relaxed,3.345638,0.353622,10.5697,10527241102943389473,0.2180,0.8683
11,pass_clone,3.325352,0.317172,9.5380,10527241102943389473,0.2180,0.8683
11,pass_clonerelax,3.325646,0.353752,10.6371,10527241102943389473,0.2180,0.8683
11,baseline2,3.149260,0.288036,9.1461,10527241102943389473,0.2180,0.8683
11,baseline,3.173020,0.288452,9.0908,10527241102943389473,0.2180,0.8683
11,null,3.168973,0.288672,9.1093,10527241102943389473,0.2180,0.8683
11,always,3.236741,0.307389,9.4969,10527241102943389473,0.2180,0.8683
11,oracle,3.169083,0.308440,9.7328,10527241102943389473,0.2180,0.8683
11,pass_hoist,3.510402,0.418325,11.9167,10527241102943389473,0.2180,0.8683
12,pass_clone,3.343586,0.317093,9.4836,10527241102943389473,0.2207,0.8697
12,pass_clonerelax,3.339351,0.354274,10.6091,10527241102943389473,0.2207,0.8697
12,baseline2,3.181193,0.287833,9.0480,10527241102943389473,0.2207,0.8697
12,baseline,3.165736,0.287706,9.0881,10527241102943389473,0.2207,0.8697
12,null,3.171104,0.288303,9.0916,10527241102943389473,0.2207,0.8697
12,always,3.238985,0.307846,9.5044,10527241102943389473,0.2207,0.8697
12,oracle,3.162114,0.307846,9.7355,10527241102943389473,0.2207,0.8697
12,pass_hoist,3.509849,0.422304,12.0320,10527241102943389473,0.2207,0.8697
12,pass_relaxed,3.336344,0.353700,10.6014,10527241102943389473,0.2207,0.8697
13,pass_clonerelax,3.334961,0.354790,10.6385,10527241102943389473,0.2228,0.8699
13,baseline2,3.165172,0.288356,9.1103,10527241102943389473,0.2228,0.8699
13,baseline,3.162466,0.288617,9.1263,10527241102943389473,0.2228,0.8699
13,null,3.162706,0.288235,9.1135,10527241102943389473,0.2228,0.8699
13,always,3.228354,0.307776,9.5335,10527241102943389473,0.2228,0.8699
13,oracle,3.183330,0.308111,9.6789,10527241102943389473,0.2228,0.8699
13,pass_hoist,3.517895,0.416637,11.8434,10527241102943389473,0.2228,0.8699
13,pass_relaxed,3.324735,0.353461,10.6312,10527241102943389473,0.2228,0.8699
13,pass_clone,3.328236,0.317164,9.5295,10527241102943389473,0.2228,0.8699
14,baseline2,3.156379,0.288068,9.1265,10527241102943389473,0.2192,0.8688
14,baseline,3.145777,0.288335,9.1658,10527241102943389473,0.2192,0.8688
14,null,3.156041,0.288139,9.1298,10527241102943389473,0.2192,0.8688
