rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
19,always,3.217682,0.307375,9.5527,10527241102943389473,0.2242,0.8690
19,oracle,3.160479,0.307552,9.7312,10527241102943389473,0.2242,0.8690
19,pass_region,3.567307,0.428929,12.0239,10527241102943389473,0.2242,0.8690
19,pass_hoist,3.517173,0.418561,11.9005,10527241102943389473,0.2242,0.8690
19,baseline2,3.153358,0.287980,9.1325,10527241102943389473,0.2242,0.8690
19,baseline,3.160869,0.288140,9.1158,10527241102943389473,0.2242,0.8690
20,always,3.252678,0.307212,9.4449,10527241102943389473,0.2189,0.8686
20,oracle,3.177006,0.307577,9.6814,10527241102943389473,0.2189,0.8686
20,pass_region,3.560237,0.429207,12.0556,10527241102943389473,0.2189,0.8686
20,pass_hoist,3.505698,0.418251,11.9306,10527241102943389473,0.2189,0.8686
20,baseline2,3.188534,0.287917,9.0297,10527241102943389473,0.2189,0.8686
20,baseline,3.175690,0.288295,9.0782,10527241102943389473,0.2189,0.8686
20,null,3.168362,0.288412,9.1029,10527241102943389473,0.2189,0.8686
21,oracle,3.185749,0.307755,9.6604,10527241102943389473,0.2218,0.8690
21,pass_region,3.556233,0.429299,12.0717,10527241102943389473,0.2218,0.8690
21,pass_hoist,3.526136,0.418585,11.8709,10527241102943389473,0.2218,0.8690
21,baseline2,3.166150,0.287921,9.0937,10527241102943389473,0.2218,0.8690
21,baseline,3.142735,0.289156,9.2008,10527241102943389473,0.2218,0.8690
21,null,3.146181,0.287919,9.1514,10527241102943389473,0.2218,0.8690
21,always,3.247292,0.307490,9.4691,10527241102943389473,0.2218,0.8690
22,pass_region,3.559800,0.429895,12.0764,10527241102943389473,0.2262,0.8700
22,pass_hoist,3.499778,0.419663,11.9911,10527241102943389473,0.2262,0.8700
22,baseline2,3.173317,0.289227,9.1144,10527241102943389473,0.2262,0.8700
22,baseline,3.145742,0.288141,9.1597,10527241102943389473,0.2262,0.8700
22,null,3.149409,0.288529,9.1614,10527241102943389473,0.2262,0.8700
22,always,3.241554,0.307554,9.4879,10527241102943389473,0.2262,0.8700
22,oracle,3.169699,0.308348,9.7280,10527241102943389473,0.2262,0.8700
23,pass_hoist,3.519037,0.418325,11.8875,10527241102943389473,0.2201,0.8699
23,baseline2,3.180280,0.289450,9.1014,10527241102943389473,0.2201,0.8699
23,baseline,3.159038,0.287903,9.1136,10527241102943389473,0.2201,0.8699
23,null,3.164971,0.287935,9.0976,10527241102943389473,0.2201,0.8699
23,always,3.242913,0.308022,9.4983,10527241102943389473,0.2201,0.8699
23,oracle,3.192356,0.307496,9.6323,10527241102943389473,0.2201,0.8699
23,pass_region,3.556805,0.429452,12.0741,10527241102943389473,0.2201,0.8699
24,baseline2,3.146990,0.288247,9.1594,10527241102943389473,0.2224,0.8698
24,baseline,3.170802,0.288424,9.0963,10527241102943389473,0.2224,0.8698
24,null,3.138660,0.289361,9.2192,10527241102943389473,0.2224,0.8698
24,always,3.222940,0.307527,9.5418,10527241102943389473,0.2224,0.8698
24,oracle,3.179619,0.307986,9.6863,10527241102943389473,0.2224,0.8698
24,pass_region,3.546733,0.430191,12.1292,10527241102943389473,0.2224,0.8698
24,pass_hoist,3.514010,0.419875,11.9486,10527241102943389473,0.2224,0.8698
