rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
13,null,3.144175,0.287268,9.1365,10527241102943389473,0.2173,0.8690
14,oracle,3.143612,0.306115,9.7377,10527241102943389473,0.2173,0.8681
14,pass_region,3.544739,0.418582,11.8085,10527241102943389473,0.2173,0.8681
14,pass_hoist,3.467784,0.408260,11.7729,10527241102943389473,0.2173,0.8681
14,baseline2,3.134424,0.287053,9.1581,10527241102943389473,0.2173,0.8681
14,baseline,3.150438,0.287289,9.1190,10527241102943389473,0.2173,0.8681
14,null,3.162866,0.286671,9.0637,10527241102943389473,0.2173,0.8681
14,always,3.232919,0.305548,9.4512,10527241102943389473,0.2173,0.8681
15,pass_region,3.534547,0.419906,11.8801,10527241102943389473,0.2189,0.8705
15,pass_hoist,3.479875,0.408459,11.7377,10527241102943389473,0.2189,0.8705
15,baseline2,3.144846,0.286774,9.1189,10527241102943389473,0.2189,0.8705
15,baseline,3.286695,0.291599,8.8721,10527241102943389473,0.2189,0.8705
15,null,3.131579,0.287327,9.1751,10527241102943389473,0.2189,0.8705
15,always,3.223931,0.305724,9.4830,10527241102943389473,0.2189,0.8705
15,oracle,3.125031,0.306098,9.7950,10527241102943389473,0.2189,0.8705
16,pass_hoist,3.484549,0.408760,11.7306,10527241102943389473,0.2196,0.8695
16,baseline2,3.143373,0.286841,9.1252,10527241102943389473,0.2196,0.8695
16,baseline,3.150381,0.287461,9.1247,10527241102943389473,0.2196,0.8695
16,null,3.158604,0.287974,9.1171,10527241102943389473,0.2196,0.8695
16,always,3.220117,0.306130,9.5068,10527241102943389473,0.2196,0.8695
16,oracle,3.172721,0.305638,9.6333,10527241102943389473,0.2196,0.8695
16,pass_region,3.552396,0.419948,11.8215,10527241102943389473,0.2196,0.8695
17,baseline2,3.139846,0.287375,9.1525,10527241102943389473,0.2176,0.8690
17,baseline,3.162756,0.286572,9.0608,10527241102943389473,0.2176,0.8690
17,null,3.166417,0.287136,9.0682,10527241102943389473,0.2176,0.8690
17,always,3.231599,0.306099,9.4720,10527241102943389473,0.2176,0.8690
17,oracle,3.147597,0.306048,9.7232,10527241102943389473,0.2176,0.8690
17,pass_region,3.534237,0.419667,11.8743,10527241102943389473,0.2176,0.8690
17,pass_hoist,3.501007,0.412924,11.7944,10527241102943389473,0.2176,0.8690
18,baseline,3.144877,0.286957,9.1246,10527241102943389473,0.2180,0.8689
18,null,3.144616,0.287118,9.1305,10527241102943389473,0.2180,0.8689
18,always,3.239353,0.305822,9.4408,10527241102943389473,0.2180,0.8689
18,oracle,3.153334,0.306398,9.7166,10527241102943389473,0.2180,0.8689
18,pass_region,3.527265,0.420580,11.9237,10527241102943389473,0.2180,0.8689
18,pass_hoist,3.492419,0.410314,11.7487,10527241102943389473,0.2180,0.8689
18,baseline2,3.122675,0.286528,9.1757,10527241102943389473,0.2180,0.8689
19,null,3.150869,0.286761,9.1010,10527241102943389473,0.2177,0.8688
19,always,3.230809,0.305976,9.4706,10527241102943389473,0.2177,0.8688
19,oracle,3.162122,0.306781,9.7017,10527241102943389473,0.2177,0.8688
19,pass_region,3.561776,0.420928,11.8179,10527241102943389473,0.2177,0.8688
19,pass_hoist,3.479123,0.409555,11.7718,10527241102943389473,0.2177,0.8688
19,baseline2,3.151213,0.287111,9.1111,10527241102943389473,0.2177,0.8688
19,baseline,3.129706,0.286012,9.1386,10527241102943389473,0.2177,0.8688
20,always,3.244572,0.306337,9.4415,10527241102943389473,0.2205,0.8689
20,oracle,3.142704,0.306535,9.7539,10527241102943389473,0.2205,0.8689
