arm,function,undertaint_ops,sites
null_bracket,mbedtls_mpi_inv_mod,47123,65
null_bracket,explicit_bzero,31021,1
null_bracket,mbedtls_internal_sha512_process,21878,237
null_bracket,_int_malloc,16859,361
null_bracket,mbedtls_debug_print_msg,14761,12
null_bracket,ecp_mul_restartable_internal,12853,17
null_bracket,ecp_double_add_mxz,12697,4
null_bracket,mbedtls_mpi_get_bit,10926,6
null_bracket,mbedtls_aesce_setkey_enc,9435,54
null_bracket,mbedtls_sha256_finish,7190,41
null_bracket,_int_free_chunk,6032,33
null_bracket,malloc_consolidate,5357,54
null_bracket,__libc_calloc2,4215,42
null_bracket,psa_hash_update,4036,20
null_bracket,mbedtls_aesce_crypt_ecb,3750,11
null_bracket,mbedtls_mpi_core_lt_ct,3648,41
null_bracket,mbedtls_mpi_core_random,3540,133
null_bracket,mbedtls_sha256_update,3272,34
null_bracket,unlink_chunk.isra.0,2361,22
null_bracket,ecp_mod_p256,2238,220
null_bracket,mbedtls_mpi_core_write_le,2116,20
null_bracket,mbedtls_mpi_core_read_le,1928,21
null_bracket,psa_mac_setup,1763,38
null_bracket,mbedtls_ssl_print_extension,1688,17
null_bracket,psa_key_derivation_output_bytes,1604,29
null_bracket,mbedtls_asn1_get_tag,1560,17
null_bracket,mbedtls_ct_memcmp,1549,7
null_bracket,mbedtls_psa_hash_finish,1390,15
null_bracket,psa_get_and_lock_key_slot,1380,21
null_bracket,psa_hash_finish,1370,10
null_bracket,mbedtls_debug_print_buf,1368,10
null_bracket,mbedtls_mpi_free,1256,8
null_bracket,psa_key_derivation_input_bytes,1232,16
null_bracket,psa_key_derivation_input_internal,1121,24
null_bracket,mbedtls_mpi_set_bit,1003,33
null_bracket,mbedtls_mpi_lset,981,14
null_bracket,ctr_drbg_update_internal,907,25
null_bracket,mbedtls_ssl_tls13_handshake_client_step,823,192
null_bracket,mbedtls_ctr_drbg_random_with_add,786,20
null_bracket,mbedtls_ssl_print_extensions,784,16
null_bracket,psa_mac_update,784,14
null_bracket,mbedtls_mpi_core_shift_l,779,30
null_bracket,psa_wipe_key_slot,747,14
null_bracket,mbedtls_ssl_decrypt_buf,746,84
