scenario,config,gap,cycles,insts,predictions,load_predictions,behind_clear,behind_clear_retired,in_sequence,leak_entry,behind_set_squashed,behind_clear_squashed_younger,behind_clear_squashed_samepath,rename_serializing,dit_tagged_set,branch_mispredicts,value_mispredicts,claim_violations,clears_committed,clears_reg_committed,early_published,early_lead_cycles,held_branch,held_valuepred,checksum
arch,commit,24,2142.0,6241.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3710.0,7.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,commit,48,3138.0,9313.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,4.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,commit,96,4662.0,15457.0,1110.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,commit,192,7734.0,27745.0,1019.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,0,1620.0,3169.0,340.0,248.0,340.0,339.0,0.0,0.0,0.0,1.0,0.0,0.0,2944.0,5.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,6,1608.0,3937.0,633.0,633.0,633.0,633.0,0.0,0.0,0.0,0.0,0.0,0.0,2560.0,5.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,12,1773.0,4705.0,1172.0,1021.0,1170.0,1169.0,0.0,0.0,0.0,1.0,0.0,0.0,2176.0,6.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,24,2154.0,6241.0,1134.0,1021.0,1129.0,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,2176.0,7.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,48,3138.0,9313.0,1226.0,1022.0,1022.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,1.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,96,4662.0,15457.0,1110.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,writeback,192,7734.0,27745.0,1019.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,1456
arch,branch-only,0,1609.0,3169.0,55.0,12.0,55.0,54.0,0.0,0.0,0.0,1.0,0.0,0.0,3509.0,5.0,0.0,0.0,64.0,0.0,64.0,961.0,64.0,0.0,1456
arch,branch-only,6,1609.0,3937.0,42.0,42.0,42.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,3373.0,5.0,0.0,0.0,64.0,0.0,64.0,967.0,64.0,0.0,1456
arch,branch-only,12,1775.0,4705.0,134.0,93.0,132.0,132.0,0.0,0.0,0.0,0.0,0.0,0.0,3421.0,6.0,1.0,0.0,64.0,0.0,64.0,962.0,64.0,0.0,1456
arch,branch-only,24,2154.0,6241.0,1134.0,1021.0,1129.0,1128.0,0.0,0.0,0.0,1.0,0.0,0.0,2176.0,7.0,1.0,0.0,64.0,0.0,64.0,1152.0,64.0,0.0,1456
arch,branch-only,48,3138.0,9313.0,1226.0,1022.0,1022.0,1022.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,1.0,0.0,64.0,0.0,64.0,1152.0,64.0,0.0,1456
arch,branch-only,96,4662.0,15457.0,1110.0,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,64.0,1152.0,64.0,0.0,1456
arch,branch-only,192,7734.0,27745.0,1019.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2176.0,4.0,0.0,0.0,64.0,0.0,64.0,1152.0,64.0,0.0,1456
branch,nodit,0,195680.0,191494.0,111055.0,100860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6114.0,0.0,70.0,323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,nodit,6,205975.0,227020.0,110275.0,100038.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6116.0,0.0,72.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,nodit,12,224162.0,262546.0,111925.0,101920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6114.0,0.0,68.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,nodit,24,220012.0,333598.0,106109.0,100822.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6050.0,0.0,69.0,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,nodit,48,268436.0,475702.0,110239.0,100058.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6118.0,0.0,74.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
branch,nodit,96,320639.0,759910.0,111108.0,100848.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6117.0,0.0,73.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67725
