bench,arm,cfg,cycles,insts,ops,fetchInsts,icacheLines,icacheStall,l1i_acc,l1i_miss,l1d_acc,l1d_miss,l2_miss,bpLookups,bpBTBHits,condPred,condIncorr,bpSquash,bpSquashCond,sqInsts,iqFull,robFull,renBlocked,decBlocked,ftqFull,fetchRun,nisn0,ditWrites,ditCycles
chacha20_poly1305_decrypt,pad12,spec,2303.0,5057.0,5525.0,5157.84,421.24,419.94,421.24,0.0,739.36,0.0,0.0,276.1,276.1,164.82,0.0,11.16,9.44,61.82,731.88,0.0,782.3,864.68,2280.8,1881.88,1120.04,0.0,0.0
chacha20_poly1305_decrypt,pad16384,spec,2283.92,5057.0,5525.0,5162.6,448.24,448.36,448.24,0.0,742.14,0.0,0.0,275.34,275.34,165.14,0.0,13.86,11.08,53.52,652.64,0.0,718.16,775.8,2253.26,1834.34,1099.38,0.0,0.0
chacha20_poly1305_decrypt,pad16,spec,2292.68,5057.0,5525.0,5139.58,456.94,457.06,456.94,0.0,729.38,0.0,0.0,277.58,277.58,163.4,0.0,17.62,10.96,50.28,666.12,0.0,715.82,791.48,2268.82,1834.38,1102.36,0.0,0.0
chacha20_poly1305_decrypt,pad2048,spec,2283.54,5057.0,5525.0,5158.68,448.7,448.1,448.7,0.0,747.46,0.0,0.0,270.5,270.5,161.88,0.0,8.9,7.62,44.98,646.94,0.0,715.08,773.8,2257.74,1834.36,1099.48,0.0,0.0
chacha20_poly1305_decrypt,pad24,spec,2431.42,5057.0,5525.0,5209.28,459.3,459.1,459.3,0.0,756.4,0.0,0.02,310.56,310.56,180.6,0.0,47.94,27.18,173.04,792.06,0.0,842.88,921.96,2381.22,1970.26,1238.68,0.0,0.0
chacha20_poly1305_decrypt,pad256,spec,2298.96,5057.0,5525.0,5202.34,450.0,449.22,450.0,0.0,755.92,0.0,0.0,296.7,296.7,178.36,0.0,34.86,24.24,78.5,649.32,0.0,715.42,771.92,2246.5,1847.94,1101.98,0.0,0.0
chacha20_poly1305_decrypt,pad32768,spec,2282.24,5057.0,5525.0,5149.64,448.32,447.98,448.32,0.0,743.7,0.0,0.0,270.26,270.26,161.62,0.0,8.72,7.44,44.82,650.04,0.0,716.08,775.48,2256.66,1833.2,1100.88,0.0,0.0
chacha20_poly1305_decrypt,pad32,spec,2356.72,5057.0,5525.0,5145.04,462.58,462.86,462.58,0.02,727.7,0.0,0.04,276.86,276.86,163.86,0.0,11.56,8.74,56.36,716.9,0.0,773.22,841.64,2335.54,1892.68,1156.08,0.0,0.0
chacha20_poly1305_decrypt,pad4096,spec,2312.16,5057.0,5525.0,5249.26,450.7,450.5,450.7,0.0,761.74,0.0,0.0,322.3,322.3,195.1,0.0,61.38,41.52,117.28,649.6,0.0,716.32,771.1,2233.58,1859.1,1099.9,0.0,0.0
chacha20_poly1305_decrypt,pad48,spec,2364.66,5057.0,5525.0,5233.86,520.96,521.68,520.96,0.0,783.1,0.0,0.04,300.66,300.66,181.48,0.0,34.1,24.28,78.84,654.98,0.0,705.98,778.98,2322.22,1841.06,1167.5,0.0,0.0
