bench,arm,cfg,cycles,insts,ops,fetchInsts,icacheLines,icacheStall,l1i_acc,l1i_miss,l1d_acc,l1d_miss,l2_miss,bpLookups,bpBTBHits,condPred,condIncorr,bpSquash,bpSquashCond,sqInsts,iqFull,robFull,renBlocked,decBlocked,ftqFull,fetchRun,nisn0,ditWrites,ditCycles
chacha20_poly1305_decrypt,taint,serdit,3160.72,5154.0,5686.0,5172.9,518.0,519.02,518.0,0.0,835.22,0.0,0.0,277.12,277.12,154.04,0.0,0.88,0.42,0.0,639.0,0.0,700.0,1706.72,3157.58,2641.68,1958.72,32.0,2947.72
chacha20_poly1305_decrypt,taint,spec,2442.62,5154.0,5686.0,5283.62,531.86,532.46,531.86,0.0,839.58,0.0,0.0,291.68,291.68,162.26,0.0,8.5,7.04,43.0,683.12,0.0,735.18,804.3,2423.66,1909.1,1214.64,32.0,2423.7
chacha20_poly1305_decrypt,taintnop,serdit,2429.5,5154.0,5686.0,5315.34,542.78,543.3,542.78,0.0,839.76,0.0,0.0,325.24,325.24,181.86,0.0,41.56,26.48,79.98,655.86,0.0,705.84,778.66,2375.22,1884.02,1195.98,0.0,0.0
chacha20_poly1305_decrypt,taintnop,spec,2429.5,5154.0,5686.0,5315.34,542.78,543.3,542.78,0.0,839.76,0.0,0.0,325.24,325.24,181.86,0.0,41.56,26.48,79.98,655.86,0.0,705.84,778.66,2375.22,1884.02,1195.98,0.0,0.0
chacha20_poly1305_encrypt,base,serdit,2185.86,4810.0,5276.0,4938.48,449.2,450.1,449.2,0.0,661.34,0.0,0.0,252.08,252.08,151.52,0.0,46.54,28.98,100.5,599.52,0.0,653.86,713.48,2130.62,1734.04,1040.26,0.0,0.0
chacha20_poly1305_encrypt,base,spec,2185.86,4810.0,5276.0,4938.48,449.2,450.1,449.2,0.0,661.34,0.0,0.0,252.08,252.08,151.52,0.0,46.54,28.98,100.5,599.52,0.0,653.86,713.48,2130.62,1734.04,1040.26,0.0,0.0
chacha20_poly1305_encrypt,notwin,serdit,3607.34,4928.0,5454.0,4932.72,430.02,430.14,430.02,0.0,739.98,0.0,0.0,226.12,226.12,127.0,0.0,0.3,0.14,0.0,701.0,0.0,748.0,2336.24,3602.2,3177.18,2441.14,57.0,3243.04
chacha20_poly1305_encrypt,notwin,spec,2216.34,4928.0,5454.0,4982.22,436.02,436.14,436.02,0.0,701.74,0.0,0.0,227.26,227.26,128.1,0.0,0.3,0.14,0.0,628.0,0.0,675.0,742.0,2211.02,1780.18,1050.16,57.0,2176.36
chacha20_poly1305_encrypt,notwinnop,serdit,2229.88,4928.0,5454.0,4992.32,437.84,438.6,437.84,0.0,699.38,0.0,0.0,251.74,251.74,136.26,0.0,26.54,10.06,29.7,647.48,0.0,688.06,755.78,2197.72,1790.46,1065.92,0.0,0.0
chacha20_poly1305_encrypt,notwinnop,spec,2229.88,4928.0,5454.0,4992.32,437.84,438.6,437.84,0.0,699.38,0.0,0.0,251.74,251.74,136.26,0.0,26.54,10.06,29.7,647.48,0.0,688.06,755.78,2197.72,1790.46,1065.92,0.0,0.0
chacha20_poly1305_encrypt,rt,serdit,2243.76,4871.0,5397.0,4931.06,461.32,461.56,461.32,0.0,710.36,0.0,0.0,270.82,270.82,144.9,0.0,46.5,19.58,49.1,654.48,0.0,697.82,767.72,2191.46,1780.78,1086.56,0.0,0.0
chacha20_poly1305_encrypt,rt,spec,2243.76,4871.0,5397.0,4931.06,461.32,461.56,461.32,0.0,710.36,0.0,0.0,270.82,270.82,144.9,0.0,46.5,19.58,49.1,654.48,0.0,697.82,767.72,2191.46,1780.78,1086.56,0.0,0.0
chacha20_poly1305_encrypt,taint,serdit,3045.06,4903.0,5429.0,4913.48,482.12,481.82,482.12,0.0,741.98,0.0,0.0,226.06,226.06,127.0,0.0,0.3,0.14,0.0,685.0,0.0,743.0,1716.0,3042.98,2563.22,1899.98,32.0,2830.04
chacha20_poly1305_encrypt,taint,spec,2269.92,4903.0,5429.0,4916.86,482.64,482.58,482.64,0.0,721.34,0.0,0.0,227.88,227.88,128.08,0.0,2.18,1.38,3.26,662.32,0.0,711.98,778.38,2266.1,1787.26,1139.44,32.0,2248.96
chacha20_poly1305_encrypt,taintnop,serdit,2288.98,4903.0,5429.0,4975.74,494.62,495.86,494.62,0.0,724.06,0.0,0.0,281.64,281.64,149.92,0.0,56.46,23.74,39.9,652.3,0.0,695.38,762.58,2226.92,1791.28,1140.02,0.0,0.0
chacha20_poly1305_encrypt,taintnop,spec,2288.98,4903.0,5429.0,4975.74,494.62,495.86,494.62,0.0,724.06,0.0,0.0,281.64,281.64,149.92,0.0,56.46,23.74,39.9,652.3,0.0,695.38,762.58,2226.92,1791.28,1140.02,0.0,0.0
ed25519,base,serdit,78789.95,171769.0,203767.0,196546.15,15792.15,15819.65,15792.15,0.0,54013.8,0.15,0.0,5957.65,5957.65,869.45,0.5,2964.1,277.85,20950.7,19188.6,20.0,20528.35,23105.3,74784.8,62669.2,31616.6,0.0,0.0
ed25519,base,spec,78789.95,171769.0,203767.0,196546.15,15792.15,15819.65,15792.15,0.0,54013.8,0.15,0.0,5957.65,5957.65,869.45,0.5,2964.1,277.85,20950.7,19188.6,20.0,20528.35,23105.3,74784.8,62669.2,31616.6,0.0,0.0
ed25519,notwin,serdit,153374.45,175272.0,207318.0,175765.6,14172.2,14184.05,14172.2,0.0,53022.95,0.0,0.0,3134.1,3134.1,636.8,0.0,95.2,11.9,88.55,5850.3,0.0,6492.35,106406.4,153195.45,139177.3,111283.2,3463.0,135912.5
ed25519,notwin,spec,78169.0,175272.0,207318.0,181016.25,14613.6,14614.5,14613.6,0.0,52187.8,0.0,0.0,3674.5,3674.5,802.8,0.0,684.5,226.8,3892.5,24537.6,12.0,25978.05,28957.9,77194.85,63470.05,34889.1,3463.0,77668.85
ed25519,notwinnop,serdit,78137.7,175272.0,207318.0,179054.9,14478.85,14503.95,14478.85,0.0,52368.4,0.0,0.0,3618.5,3618.5,808.9,0.0,620.8,224.75,2665.2,25387.5,12.0,26748.95,29917.2,77376.65,63580.05,35397.95,0.0,0.0
ed25519,notwinnop,spec,78137.7,175272.0,207318.0,179054.9,14478.85,14503.95,14478.85,0.0,52368.4,0.0,0.0,3618.5,3618.5,808.9,0.0,620.8,224.75,2665.2,25387.5,12.0,26748.95,29917.2,77376.65,63580.05,35397.95,0.0,0.0
ed25519,rt,serdit,78072.45,171797.0,203839.0,184125.85,14177.75,14212.15,14177.75,0.0,52591.15,0.0,0.0,5235.1,5235.1,836.15,0.0,2225.75,241.4,8389.05,21945.15,14.7,23370.2,26666.25,75345.5,63678.2,33771.65,0.0,0.0
ed25519,rt,spec,78072.45,171797.0,203839.0,184125.85,14177.75,14212.15,14177.75,0.0,52591.15,0.0,0.0,5235.1,5235.1,836.15,0.0,2225.75,241.4,8389.05,21945.15,14.7,23370.2,26666.25,75345.5,63678.2,33771.65,0.0,0.0
ed25519,taint,serdit,77611.9,171813.0,203859.0,174756.9,13673.9,13706.5,13673.9,1.0,52087.85,0.0,0.0,3411.5,3411.5,802.05,0.4,387.9,194.8,1956.6,25839.45,2.5,27539.25,31716.65,77153.45,63877.35,36630.75,2.0,77575.85
ed25519,taint,spec,77193.45,171813.0,203859.0,174859.6,13693.0,13723.9,13693.0,1.0,52109.95,0.0,0.0,3448.75,3448.75,822.95,0.65,430.1,221.55,2071.65,25328.1,14.35,27063.45,31011.55,76682.95,63436.85,36148.15,2.0,77180.45
ed25519,taintnop,serdit,76946.0,171813.0,203859.0,176242.6,13831.25,13875.1,13831.25,1.0,52283.2,0.0,0.0,3634.0,3634.0,840.15,0.45,614.1,237.7,3014.1,24656.65,13.75,26302.25,30271.35,76180.8,63018.8,35636.8,0.0,0.0
ed25519,taintnop,spec,76946.0,171813.0,203859.0,176242.6,13831.25,13875.1,13831.25,1.0,52283.2,0.0,0.0,3634.0,3634.0,840.15,0.45,614.1,237.7,3014.1,24656.65,13.75,26302.25,30271.35,76180.8,63018.8,35636.8,0.0,0.0
