# provenance: run 2026-09-06 on aarch64 Linux (beckham), native static build; gem5-DIT ce05d32089; clang from llvm-data-independent-timing c733b86567bb (/home/rgangar/.treehouse/llvm-data-independent-timing-7b712d/7/llvm-data-independent-timing/build); gem5.fast built 2026-09-06 13:36 ; WORK=/home/rgangar/Documents/signed_lookup-gem5-20260906
# CANONICAL lane: the cycles behind every median, one row per (cell, stack offset). offset k lengthens argv[0] by k bytes; gem5 SE puts argv[0] on the initial stack, so this is the layout lottery the medians average over.
L,pred_q4,arm,switch,nosecret,offset,argv0_extra_bytes,cycles,insts
20000,3,nodit,renamed,0,1,1,19001106,15668640
20000,3,nodit,renamed,0,2,2,18975696,15668640
20000,3,nodit,renamed,0,3,3,19000434,15668640
20000,3,nodit,renamed,0,4,4,19031403,15668640
20000,3,nodit,renamed,1,0,0,18889659,15403265
20000,3,nodit,renamed,1,1,1,18940956,15403265
20000,3,nodit,renamed,1,2,2,18827130,15403265
20000,3,nodit,renamed,1,3,3,18869134,15403265
20000,3,nodit,renamed,1,4,4,18885611,15403265
20000,3,nodit,serialising,0,0,0,18982153,15668640
20000,3,nodit,serialising,0,1,1,19001106,15668640
20000,3,nodit,serialising,0,2,2,18975696,15668640
20000,3,nodit,serialising,0,3,3,19000434,15668640
20000,3,nodit,serialising,0,4,4,19031403,15668640
20000,3,blanket,renamed,0,0,0,24879252,15668640
20000,3,blanket,renamed,0,1,1,24878310,15668640
20000,3,blanket,renamed,0,2,2,24879214,15668640
20000,3,blanket,renamed,0,3,3,24879196,15668640
20000,3,blanket,renamed,0,4,4,24879584,15668640
20000,3,blanket,renamed,1,0,0,24733567,15403265
20000,3,blanket,renamed,1,1,1,24733567,15403265
20000,3,blanket,renamed,1,2,2,24733567,15403265
20000,3,blanket,renamed,1,3,3,24733567,15403265
20000,3,blanket,renamed,1,4,4,24733567,15403265
20000,3,pass,renamed,0,0,0,18931994,15673755
20000,3,pass,renamed,0,1,1,19106767,15673755
20000,3,pass,renamed,0,2,2,18995329,15673755
20000,3,pass,renamed,0,3,3,19055550,15673755
20000,3,pass,renamed,0,4,4,18967495,15673755
20000,3,pass,serialising,0,0,0,19061764,15673755
20000,3,pass,serialising,0,1,1,19069465,15673755
20000,3,pass,serialising,0,2,2,19079211,15673755
20000,3,pass,serialising,0,3,3,18963339,15673755
20000,3,pass,serialising,0,4,4,19097823,15673755
