rep,arm,total_s,raw_sign_s,secret_frac,checksum,probe_const_off,probe_const_on
12,pass_clone,3.334433,0.317339,9.5170,10527241102943389473,0.2208,0.8713
13,pass_clonegated,3.346648,0.315677,9.4326,10527241102943389473,0.2298,0.8720
13,baseline2,3.164349,0.289033,9.1340,10527241102943389473,0.2298,0.8720
13,baseline,3.186509,0.289294,9.0787,10527241102943389473,0.2298,0.8720
13,null,3.166211,0.288769,9.1203,10527241102943389473,0.2298,0.8720
13,always,3.237346,0.309628,9.5642,10527241102943389473,0.2298,0.8720
13,oracle,3.212451,0.307524,9.5729,10527241102943389473,0.2298,0.8720
13,pass_hoist,3.531666,0.420529,11.9074,10527241102943389473,0.2298,0.8720
13,pass_clone,3.327558,0.317846,9.5519,10527241102943389473,0.2298,0.8720
13,pass_gated,3.446610,0.355338,10.3098,10527241102943389473,0.2298,0.8720
14,baseline2,3.162100,0.289101,9.1427,10527241102943389473,0.2281,0.8712
14,baseline,3.170247,0.289368,9.1276,10527241102943389473,0.2281,0.8712
14,null,3.175724,0.289433,9.1139,10527241102943389473,0.2281,0.8712
14,always,3.240385,0.309280,9.5445,10527241102943389473,0.2281,0.8712
14,oracle,3.224837,0.307793,9.5444,10527241102943389473,0.2281,0.8712
14,pass_hoist,3.540614,0.420719,11.8827,10527241102943389473,0.2281,0.8712
14,pass_clone,3.371854,0.318266,9.4389,10527241102943389473,0.2281,0.8712
14,pass_gated,3.466233,0.354697,10.2329,10527241102943389473,0.2281,0.8712
14,pass_clonegated,3.326943,0.314516,9.4536,10527241102943389473,0.2281,0.8712
15,baseline,3.187700,0.289024,9.0669,10527241102943389473,0.2222,0.8710
15,null,3.205573,0.289290,9.0246,10527241102943389473,0.2222,0.8710
15,always,3.264305,0.309332,9.4762,10527241102943389473,0.2222,0.8710
15,oracle,3.231064,0.307907,9.5296,10527241102943389473,0.2222,0.8710
15,pass_hoist,3.519105,0.420734,11.9557,10527241102943389473,0.2222,0.8710
15,pass_clone,3.355839,0.318330,9.4859,10527241102943389473,0.2222,0.8710
15,pass_gated,3.439306,0.355766,10.3441,10527241102943389473,0.2222,0.8710
15,pass_clonegated,3.348859,0.315048,9.4076,10527241102943389473,0.2222,0.8710
15,baseline2,3.161453,0.289231,9.1487,10527241102943389473,0.2222,0.8710
16,null,3.218172,0.288875,8.9764,10527241102943389473,0.2239,0.8706
16,always,3.260859,0.308769,9.4689,10527241102943389473,0.2239,0.8706
16,oracle,3.228515,0.307947,9.5383,10527241102943389473,0.2239,0.8706
16,pass_hoist,3.528097,0.421138,11.9367,10527241102943389473,0.2239,0.8706
16,pass_clone,3.347333,0.318226,9.5069,10527241102943389473,0.2239,0.8706
16,pass_gated,3.436379,0.355851,10.3554,10527241102943389473,0.2239,0.8706
16,pass_clonegated,3.368476,0.314842,9.3467,10527241102943389473,0.2239,0.8706
16,baseline2,3.169031,0.289548,9.1368,10527241102943389473,0.2239,0.8706
16,baseline,3.185849,0.289105,9.0747,10527241102943389473,0.2239,0.8706
17,always,3.255488,0.308660,9.4812,10527241102943389473,0.2246,0.8706
17,oracle,3.242119,0.308011,9.5003,10527241102943389473,0.2246,0.8706
17,pass_hoist,3.526956,0.420525,11.9232,10527241102943389473,0.2246,0.8706
17,pass_clone,3.332056,0.317535,9.5297,10527241102943389473,0.2246,0.8706
