benchmark,arm,archive,rep,mean_ticks,n,dit_exit,cycle_src,timer_src,tot_cyc,tot_ins,map_stall,flush,reg_cyc,reg_ins,reg_n,samp_cyc,samp_ins,samp_n,samp_every,pmc_off,reg_drop,pinned
ed25519,Z,taintnop,15,8132.061,1000,0,pmc,cntvct,0,0,0,0,8330581,0,1025,553601,2399824,16,64,1,0,9
ed25519,A,base,15,8055.440,1000,0,pmc,cntvct,0,0,0,0,8255196,0,1025,549851,2397760,16,64,1,0,9
ed25519,C,base,15,8169.309,1000,1,pmc,cntvct,0,0,0,0,8369850,0,1025,554087,2397760,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,1,257.473,1000,0,pmc,cntvct,0,0,0,0,297744,0,1025,16869,78993,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,1,267.774,1000,1,pmc,cntvct,0,0,0,0,278234,0,1025,16924,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,1,303.603,1000,0,pmc,cntvct,0,0,0,0,346798,0,1025,20081,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,1,261.730,1000,0,pmc,cntvct,0,0,0,0,304082,0,1025,17009,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,1,534.075,1000,0,pmc,cntvct,0,0,0,0,639838,0,1025,36178,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,1,259.820,1000,0,pmc,cntvct,0,0,0,0,381600,0,1025,17073,80080,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,2,267.087,1000,1,pmc,cntvct,0,0,0,0,277535,0,1025,16909,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,2,307.724,1000,0,pmc,cntvct,0,0,0,0,320727,0,1025,19979,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,2,258.161,1000,0,pmc,cntvct,0,0,0,0,268455,0,1025,16960,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,2,528.699,1000,0,pmc,cntvct,0,0,0,0,548240,0,1025,36247,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,2,259.493,1000,0,pmc,cntvct,0,0,0,0,273620,0,1025,16930,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,2,257.028,1000,0,pmc,cntvct,0,0,0,0,267486,0,1025,16857,78991,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,3,300.632,1000,0,pmc,cntvct,0,0,0,0,311965,0,1025,19991,79248,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,3,270.700,1000,0,pmc,cntvct,0,0,0,0,281050,0,1025,17738,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,3,534.074,1000,0,pmc,cntvct,0,0,0,0,553425,0,1025,36218,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,3,270.758,1000,0,pmc,cntvct,0,0,0,0,285066,0,1025,17710,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,3,268.065,1000,0,pmc,cntvct,0,0,0,0,278472,0,1025,17650,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,3,278.871,1000,1,pmc,cntvct,0,0,0,0,289452,0,1025,17768,78992,16,64,1,0,9
chacha20_poly1305_encrypt,T,base,4,257.533,1000,0,pmc,cntvct,0,0,0,0,267826,0,1025,16915,79248,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,4,532.823,1000,0,pmc,cntvct,0,0,0,0,552782,0,1025,36343,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,4,261.734,1000,0,pmc,cntvct,0,0,0,0,275979,0,1025,17021,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,4,256.775,1000,0,pmc,cntvct,0,0,0,0,267539,0,1025,16852,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,4,269.093,1000,1,pmc,cntvct,0,0,0,0,279446,0,1025,16861,78992,16,64,1,0,9
chacha20_poly1305_encrypt,B,base,4,304.576,1000,0,pmc,cntvct,0,0,0,0,316115,0,1025,20386,79247,16,64,1,0,9
chacha20_poly1305_encrypt,P,taint,5,537.369,1000,0,pmc,cntvct,0,0,0,0,557511,0,1025,36460,80160,16,64,1,0,9
chacha20_poly1305_encrypt,Z,taintnop,5,260.004,1000,0,pmc,cntvct,0,0,0,0,274215,0,1025,17043,80080,16,64,1,0,9
chacha20_poly1305_encrypt,A,base,5,268.056,1000,0,pmc,cntvct,0,0,0,0,279448,0,1025,17551,78992,16,64,1,0,9
chacha20_poly1305_encrypt,C,base,5,277.313,1000,1,pmc,cntvct,0,0,0,0,288227,0,1025,17658,78992,16,64,1,0,9
