rep,arm,dit,ns,checksum
15,chase_const,0,4353500,2048
15,chase_const,1,17425666,2048
15,chase_perm,0,17603583,665
15,chase_perm,1,17478792,665
16,inv,0,21840625,8584613699922148283
16,inv,1,21759625,8584613699922148283
16,inv_var,0,15415333,8584613699922148283
16,inv_var,1,15301667,8584613699922148283
16,mul,0,10267542,5227797977677173691
16,mul,1,10291583,5227797977677173691
16,inv_small,0,21573292,17835747444216045878
16,inv_small,1,21575292,17835747444216045878
16,inv_wide,0,21571792,716175243468652111
16,inv_wide,1,21603834,716175243468652111
16,chase_const,0,4350709,2048
16,chase_const,1,17442208,2048
16,chase_perm,0,17433917,665
16,chase_perm,1,17404667,665
17,inv,0,21773666,8584613699922148283
17,inv,1,21841166,8584613699922148283
17,inv_var,0,15244833,8584613699922148283
17,inv_var,1,15329625,8584613699922148283
17,mul,0,10234792,5227797977677173691
17,mul,1,10300583,5227797977677173691
17,inv_small,0,21560375,17835747444216045878
17,inv_small,1,21600209,17835747444216045878
17,inv_wide,0,21577458,716175243468652111
17,inv_wide,1,21602292,716175243468652111
17,chase_const,0,4345625,2048
17,chase_const,1,17392792,2048
17,chase_perm,0,17393750,665
17,chase_perm,1,17404709,665
18,inv,0,21692125,8584613699922148283
18,inv,1,21793458,8584613699922148283
18,inv_var,0,15273000,8584613699922148283
18,inv_var,1,15271833,8584613699922148283
18,mul,0,10237000,5227797977677173691
18,mul,1,10282166,5227797977677173691
18,inv_small,0,21582042,17835747444216045878
18,inv_small,1,21602667,17835747444216045878
18,inv_wide,0,21586417,716175243468652111
18,inv_wide,1,21589917,716175243468652111
18,chase_const,0,4343417,2048
18,chase_const,1,17389500,2048
18,chase_perm,0,17422042,665
18,chase_perm,1,17434291,665
19,inv,0,21723292,8584613699922148283
19,inv,1,21812500,8584613699922148283
19,inv_var,0,15264625,8584613699922148283
19,inv_var,1,15281833,8584613699922148283
19,mul,0,10238333,5227797977677173691
19,mul,1,10309917,5227797977677173691
19,inv_small,0,21692916,17835747444216045878
19,inv_small,1,21575667,17835747444216045878
19,inv_wide,0,21576292,716175243468652111
19,inv_wide,1,21565042,716175243468652111
19,chase_const,0,4354000,2048
19,chase_const,1,17384834,2048
19,chase_perm,0,17398333,665
19,chase_perm,1,17409750,665
20,inv,0,21729709,8584613699922148283
20,inv,1,21941916,8584613699922148283
20,inv_var,0,15256084,8584613699922148283
20,inv_var,1,15266041,8584613699922148283
20,mul,0,10229750,5227797977677173691
20,mul,1,10292833,5227797977677173691
20,inv_small,0,21567834,17835747444216045878
20,inv_small,1,21621333,17835747444216045878
20,inv_wide,0,21597667,716175243468652111
20,inv_wide,1,21608833,716175243468652111
20,chase_const,0,4349125,2048
20,chase_const,1,17426541,2048
20,chase_perm,0,17389917,665
20,chase_perm,1,17413791,665
21,inv,0,21715875,8584613699922148283
21,inv,1,21819875,8584613699922148283
21,inv_var,0,15244500,8584613699922148283
21,inv_var,1,15422708,8584613699922148283
21,mul,0,10219916,5227797977677173691
21,mul,1,10286083,5227797977677173691
21,inv_small,0,21580583,17835747444216045878
21,inv_small,1,21603084,17835747444216045878
21,inv_wide,0,21612625,716175243468652111
21,inv_wide,1,21615958,716175243468652111
21,chase_const,0,4357042,2048
21,chase_const,1,17391084,2048
21,chase_perm,0,17386292,665
21,chase_perm,1,17412792,665
22,inv,0,21709291,8584613699922148283
22,inv,1,21760000,8584613699922148283
22,inv_var,0,15248541,8584613699922148283
22,inv_var,1,15280625,8584613699922148283
22,mul,0,10214750,5227797977677173691
22,mul,1,10280750,5227797977677173691
