rep,arm,dit,ns,checksum
28,inv_var,1,15329500,8584613699922148283
28,mul,0,10220500,5227797977677173691
28,mul,1,10298167,5227797977677173691
28,inv_small,0,21615709,17835747444216045878
28,inv_small,1,21715250,17835747444216045878
28,inv_wide,0,21639542,716175243468652111
28,inv_wide,1,21610917,716175243468652111
28,chase_const,0,4357709,2048
28,chase_const,1,17393667,2048
28,chase_perm,0,17414250,665
28,chase_perm,1,17426083,665
29,inv,0,21723625,8584613699922148283
29,inv,1,21804459,8584613699922148283
29,inv_var,0,15252416,8584613699922148283
29,inv_var,1,15280083,8584613699922148283
29,mul,0,10214875,5227797977677173691
29,mul,1,10282459,5227797977677173691
29,inv_small,0,21618500,17835747444216045878
29,inv_small,1,21593792,17835747444216045878
29,inv_wide,0,21661708,716175243468652111
29,inv_wide,1,21618916,716175243468652111
29,chase_const,0,4353042,2048
29,chase_const,1,17417209,2048
29,chase_perm,0,17409667,665
29,chase_perm,1,17443959,665
