rep,arm,dit,ns,checksum
22,inv_var,0,15271625,8584613699922148283
22,inv_var,1,15277750,8584613699922148283
22,mul,0,10227125,5227797977677173691
22,mul,1,10326000,5227797977677173691
22,inv_small,0,27937125,17835747444216045878
22,inv_small,1,34151708,17835747444216045878
22,inv_wide,0,27719458,716175243468652111
22,inv_wide,1,34263083,716175243468652111
22,chase_const,0,4362042,2048
22,chase_const,1,17408584,2048
22,chase_perm,0,17429334,665
22,chase_perm,1,17409375,665
23,inv,0,27903792,8584613699922148283
23,inv,1,34387833,8584613699922148283
23,inv_var,0,15266583,8584613699922148283
23,inv_var,1,15326792,8584613699922148283
23,mul,0,10241833,5227797977677173691
23,mul,1,10310834,5227797977677173691
23,inv_small,0,27742625,17835747444216045878
23,inv_small,1,34208209,17835747444216045878
23,inv_wide,0,27801584,716175243468652111
23,inv_wide,1,34174792,716175243468652111
23,chase_const,0,4343291,2048
23,chase_const,1,17429417,2048
23,chase_perm,0,17412750,665
23,chase_perm,1,17402958,665
24,inv,0,27905916,8584613699922148283
24,inv,1,34428208,8584613699922148283
24,inv_var,0,15259958,8584613699922148283
24,inv_var,1,15326000,8584613699922148283
24,mul,0,10227958,5227797977677173691
24,mul,1,10271083,5227797977677173691
24,inv_small,0,27770459,17835747444216045878
24,inv_small,1,34201417,17835747444216045878
24,inv_wide,0,27781541,716175243468652111
24,inv_wide,1,34234709,716175243468652111
24,chase_const,0,4342417,2048
24,chase_const,1,17402584,2048
24,chase_perm,0,17406959,665
24,chase_perm,1,17394834,665
25,inv,0,27912250,8584613699922148283
25,inv,1,34407375,8584613699922148283
25,inv_var,0,15248750,8584613699922148283
25,inv_var,1,15268125,8584613699922148283
25,mul,0,10228125,5227797977677173691
25,mul,1,10320583,5227797977677173691
25,inv_small,0,27738125,17835747444216045878
25,inv_small,1,35165375,17835747444216045878
25,inv_wide,0,27867417,716175243468652111
25,inv_wide,1,34169292,716175243468652111
25,chase_const,0,4418875,2048
25,chase_const,1,17508667,2048
25,chase_perm,0,17418458,665
25,chase_perm,1,17427584,665
26,inv,0,27878291,8584613699922148283
26,inv,1,34497042,8584613699922148283
26,inv_var,0,15243666,8584613699922148283
26,inv_var,1,15303292,8584613699922148283
26,mul,0,10206250,5227797977677173691
26,mul,1,10288542,5227797977677173691
26,inv_small,0,27726167,17835747444216045878
26,inv_small,1,34147666,17835747444216045878
26,inv_wide,0,27763458,716175243468652111
26,inv_wide,1,34816458,716175243468652111
26,chase_const,0,4436083,2048
26,chase_const,1,18382792,2048
