benchmark,metric,arm,archive,rep,value,dit_exit
ditprobe,Perm,F,func,9,652,
ditprobe,CoreMHz,F,func,9,4592,
ditprobe,DitBit,F,func,9,0,
ditprobe,Const,X,fine,9,217,
ditprobe,Perm,X,fine,9,652,
ditprobe,CoreMHz,X,fine,9,4604,
ditprobe,DitBit,X,fine,9,0,
ditprobe,Const,N,narrow,9,219,
ditprobe,Perm,N,narrow,9,652,
ditprobe,CoreMHz,N,narrow,9,4580,
ditprobe,DitBit,N,narrow,9,0,
ditprobe,Const,Z,nopsw,9,217,
ditprobe,Perm,Z,nopsw,9,652,
ditprobe,CoreMHz,Z,nopsw,9,4590,
ditprobe,DitBit,Z,nopsw,9,0,
ditprobe,Const,C,baseline,10,652,
ditprobe,Perm,C,baseline,10,654,
ditprobe,CoreMHz,C,baseline,10,4599,
ditprobe,DitBit,C,baseline,10,1,
ditprobe,Const,P,hardened,10,217,
ditprobe,Perm,P,hardened,10,652,
ditprobe,CoreMHz,P,hardened,10,4579,
ditprobe,DitBit,P,hardened,10,0,
ditprobe,Const,F,func,10,217,
ditprobe,Perm,F,func,10,653,
ditprobe,CoreMHz,F,func,10,4586,
ditprobe,DitBit,F,func,10,0,
ditprobe,Const,X,fine,10,217,
ditprobe,Perm,X,fine,10,652,
ditprobe,CoreMHz,X,fine,10,4590,
ditprobe,DitBit,X,fine,10,0,
ditprobe,Const,N,narrow,10,217,
ditprobe,Perm,N,narrow,10,655,
ditprobe,CoreMHz,N,narrow,10,4601,
ditprobe,DitBit,N,narrow,10,0,
ditprobe,Const,Z,nopsw,10,217,
ditprobe,Perm,Z,nopsw,10,652,
ditprobe,CoreMHz,Z,nopsw,10,4591,
ditprobe,DitBit,Z,nopsw,10,0,
ditprobe,Const,A,baseline,10,217,
ditprobe,Perm,A,baseline,10,652,
ditprobe,CoreMHz,A,baseline,10,4591,
ditprobe,DitBit,A,baseline,10,0,
ditprobe,Const,P,hardened,11,217,
ditprobe,Perm,P,hardened,11,653,
ditprobe,CoreMHz,P,hardened,11,4590,
ditprobe,DitBit,P,hardened,11,0,
ditprobe,Const,F,func,11,217,
ditprobe,Perm,F,func,11,653,
ditprobe,CoreMHz,F,func,11,4601,
ditprobe,DitBit,F,func,11,0,
ditprobe,Const,X,fine,11,217,
ditprobe,Perm,X,fine,11,653,
ditprobe,CoreMHz,X,fine,11,4591,
ditprobe,DitBit,X,fine,11,0,
ditprobe,Const,N,narrow,11,217,
ditprobe,Perm,N,narrow,11,652,
ditprobe,CoreMHz,N,narrow,11,4598,
ditprobe,DitBit,N,narrow,11,0,
ditprobe,Const,Z,nopsw,11,218,
ditprobe,Perm,Z,nopsw,11,652,
ditprobe,CoreMHz,Z,nopsw,11,4601,
ditprobe,DitBit,Z,nopsw,11,0,
ditprobe,Const,A,baseline,11,218,
ditprobe,Perm,A,baseline,11,652,
ditprobe,CoreMHz,A,baseline,11,4588,
ditprobe,DitBit,A,baseline,11,0,
ditprobe,Const,C,baseline,11,652,
ditprobe,Perm,C,baseline,11,651,
ditprobe,CoreMHz,C,baseline,11,4607,
ditprobe,DitBit,C,baseline,11,1,
ditprobe,Const,P,hardened,12,217,
ditprobe,Perm,P,hardened,12,652,
ditprobe,CoreMHz,P,hardened,12,4591,
ditprobe,DitBit,P,hardened,12,0,
ditprobe,Const,F,func,12,217,
ditprobe,Perm,F,func,12,653,
ditprobe,CoreMHz,F,func,12,4602,
ditprobe,DitBit,F,func,12,0,
ditprobe,Const,X,fine,12,217,
ditprobe,Perm,X,fine,12,652,
ditprobe,CoreMHz,X,fine,12,4591,
ditprobe,DitBit,X,fine,12,0,
ditprobe,Const,N,narrow,12,217,
ditprobe,Perm,N,narrow,12,653,
ditprobe,CoreMHz,N,narrow,12,4589,
ditprobe,DitBit,N,narrow,12,0,
ditprobe,Const,Z,nopsw,12,217,
ditprobe,Perm,Z,nopsw,12,652,
ditprobe,CoreMHz,Z,nopsw,12,4590,
ditprobe,DitBit,Z,nopsw,12,0,
ditprobe,Const,A,baseline,12,217,
ditprobe,Perm,A,baseline,12,655,
ditprobe,CoreMHz,A,baseline,12,4581,
ditprobe,DitBit,A,baseline,12,0,
ditprobe,Const,C,baseline,12,652,
ditprobe,Perm,C,baseline,12,652,
ditprobe,CoreMHz,C,baseline,12,4586,
ditprobe,DitBit,C,baseline,12,1,
ditprobe,Const,F,func,13,217,
ditprobe,Perm,F,func,13,652,
ditprobe,CoreMHz,F,func,13,4590,
ditprobe,DitBit,F,func,13,0,
ditprobe,Const,X,fine,13,217,
ditprobe,Perm,X,fine,13,652,
ditprobe,CoreMHz,X,fine,13,4591,
ditprobe,DitBit,X,fine,13,0,
ditprobe,Const,N,narrow,13,217,
ditprobe,Perm,N,narrow,13,653,
ditprobe,CoreMHz,N,narrow,13,4589,
ditprobe,DitBit,N,narrow,13,0,
ditprobe,Const,Z,nopsw,13,218,
ditprobe,Perm,Z,nopsw,13,652,
ditprobe,CoreMHz,Z,nopsw,13,4581,
ditprobe,DitBit,Z,nopsw,13,0,
ditprobe,Const,A,baseline,13,217,
ditprobe,Perm,A,baseline,13,652,
ditprobe,CoreMHz,A,baseline,13,4594,
ditprobe,DitBit,A,baseline,13,0,
ditprobe,Const,C,baseline,13,653,
ditprobe,Perm,C,baseline,13,653,
ditprobe,CoreMHz,C,baseline,13,4608,
ditprobe,DitBit,C,baseline,13,1,
ditprobe,Const,P,hardened,13,217,
ditprobe,Perm,P,hardened,13,652,
ditprobe,CoreMHz,P,hardened,13,4590,
ditprobe,DitBit,P,hardened,13,0,
ditprobe,Const,X,fine,14,217,
ditprobe,Perm,X,fine,14,652,
ditprobe,CoreMHz,X,fine,14,4591,
ditprobe,DitBit,X,fine,14,0,
ditprobe,Const,N,narrow,14,218,
ditprobe,Perm,N,narrow,14,652,
ditprobe,CoreMHz,N,narrow,14,4590,
ditprobe,DitBit,N,narrow,14,0,
ditprobe,Const,Z,nopsw,14,217,
ditprobe,Perm,Z,nopsw,14,653,
ditprobe,CoreMHz,Z,nopsw,14,4602,
ditprobe,DitBit,Z,nopsw,14,0,
ditprobe,Const,A,baseline,14,217,
ditprobe,Perm,A,baseline,14,652,
ditprobe,CoreMHz,A,baseline,14,4583,
ditprobe,DitBit,A,baseline,14,0,
ditprobe,Const,C,baseline,14,652,
ditprobe,Perm,C,baseline,14,653,
ditprobe,CoreMHz,C,baseline,14,4604,
ditprobe,DitBit,C,baseline,14,1,
ditprobe,Const,P,hardened,14,217,
ditprobe,Perm,P,hardened,14,654,
ditprobe,CoreMHz,P,hardened,14,4593,
ditprobe,DitBit,P,hardened,14,0,
ditprobe,Const,F,func,14,217,
ditprobe,Perm,F,func,14,653,
ditprobe,CoreMHz,F,func,14,4588,
ditprobe,DitBit,F,func,14,0,
ditprobe,Const,N,narrow,15,217,
ditprobe,Perm,N,narrow,15,652,
ditprobe,CoreMHz,N,narrow,15,4581,
ditprobe,DitBit,N,narrow,15,0,
ditprobe,Const,Z,nopsw,15,217,
ditprobe,Perm,Z,nopsw,15,652,
ditprobe,CoreMHz,Z,nopsw,15,4590,
ditprobe,DitBit,Z,nopsw,15,0,
ditprobe,Const,A,baseline,15,218,
ditprobe,Perm,A,baseline,15,652,
ditprobe,CoreMHz,A,baseline,15,4602,
ditprobe,DitBit,A,baseline,15,0,
ditprobe,Const,C,baseline,15,652,
ditprobe,Perm,C,baseline,15,652,
ditprobe,CoreMHz,C,baseline,15,4604,
ditprobe,DitBit,C,baseline,15,1,
ditprobe,Const,P,hardened,15,217,
ditprobe,Perm,P,hardened,15,652,
ditprobe,CoreMHz,P,hardened,15,4590,
ditprobe,DitBit,P,hardened,15,0,
ditprobe,Const,F,func,15,217,
ditprobe,Perm,F,func,15,652,
ditprobe,CoreMHz,F,func,15,4589,
ditprobe,DitBit,F,func,15,0,
ditprobe,Const,X,fine,15,218,
ditprobe,Perm,X,fine,15,653,
ditprobe,CoreMHz,X,fine,15,4591,
ditprobe,DitBit,X,fine,15,0,
ditprobe,Const,Z,nopsw,16,217,
ditprobe,Perm,Z,nopsw,16,653,
